Time_stamp(s),Net_transmit(B/s),Net_receive(B/s),CPU_usage(%),RAM_usage(MB),RAM_usage(%),Swap_usage(MB),Swap_usage(%),Temp(ºC),Mem_faults,Mem_majfaults,Ejecucion
5,0.0,14.0,0.10470499999999383,204.85546875,5.400504182988767,0.0,0.0,55.017,0.0,0.0,1
5,17456.0,2628850.0,8.138160000000001,348.42578125,9.18537786949734,0.0,0.0,55.991,8516.2,0.0,1
5,8.4,8.4,21.988744999999994,341.4921875,9.002590940358942,0.0,0.0,56.965,1760.8,0.0,1
5,0.0,0.0,28.56587000000001,362.55859375,9.557954269284794,0.0,0.0,55.991,4121.8,0.0,1
5,0.0,0.0,22.181999999999995,378.28515625,9.97254591813617,0.0,0.0,56.965,3339.4,0.0,1
5,0.0,0.0,23.329450000000005,388.9765625,10.254398213940002,0.0,0.0,57.452,2048.8,0.0,1
5,0.0,0.0,26.62714000000001,418.3984375,11.030032664796577,0.0,0.0,57.452,2361.6,0.0,1
5,0.0,0.0,30.000085,439.05078125,11.574480267249937,0.0,0.0,57.939,3104.6,0.0,1
5,0.0,0.0,24.1939,448.88671875,11.833780260247394,0.0,0.0,57.939,1683.6,0.0,1
5,0.0,0.0,24.772399999999983,514.390625,13.560627592485035,0.0,0.0,57.939,3909.8,0.0,1
5,0.0,0.0,20.873090000000012,562.9765625,14.841474817624986,0.0,0.0,58.913,2477.2,0.0,1
6,0.0,0.0,40.311404166666634,698.921875,18.42533437135713,0.0,0.0,59.887,5797.166666666667,0.0,1
5,0.0,14.0,67.62675999999999,692.16796875,18.247284455593586,0.0,0.0,59.887,951.0,0.0,1
5,0.0,0.0,46.79688000000006,695.859375,18.344599186881354,0.0,0.0,59.887,213.2,0.0,1
5,0.0,0.0,56.74840499999995,701.91796875,18.504318920455248,0.0,0.0,61.835,310.6,0.0,1
5,0.0,0.0,69.32100000000005,700.13671875,18.457360700913213,0.0,0.0,60.861,821.6,0.0,1
5,0.0,0.0,60.95453,693.16015625,18.273441007706914,0.0,0.0,60.861,590.2,0.0,1
5,0.0,0.0,53.02866500000001,701.46875,18.49247638701811,0.0,0.0,61.348,413.0,0.0,1
5,0.0,0.0,58.737100000000034,701.48046875,18.492785322672994,0.0,0.0,60.861,0.4,0.0,1
5,0.0,0.0,51.25651999999988,623.89453125,16.447425330252216,0.0,0.0,60.374,2601.4,0.0,1
5,0.0,0.0,54.17313000000007,631.484375,16.647512656063995,0.0,0.0,61.835,452.6,0.0,1
5,2597522.4,3508.6,32.93411500000005,631.4140625,16.645659042134703,0.0,0.0,58.913,6764.4,0.0,1
5,8.4,8.4,0.27897999999993317,631.234375,16.64092202875985,0.0,0.0,58.426,0.0,0.0,1
5,0.0,0.0,0.11932000000001608,631.234375,16.64092202875985,0.0,0.0,57.939,0.0,0.0,1
6,0.0,0.0,0.11855833333337766,631.234375,16.64092202875985,0.0,0.0,57.939,0.0,0.0,1
5,0.0,0.0,0.09101499999999874,631.234375,16.64092202875985,0.0,0.0,57.452,0.0,0.0,1
5,0.0,0.0,0.10273999999995455,631.234375,16.64092202875985,0.0,0.0,55.991,0.0,0.0,1
5,0.0,0.0,0.19677500000000236,631.234375,16.64092202875985,0.0,0.0,58.426,0.0,0.0,1
5,0.0,0.0,0.10239499999997292,631.234375,16.64092202875985,0.0,0.0,56.965,0.0,0.0,1
5,0.0,0.0,0.14265500000007592,631.234375,16.64092202875985,0.0,0.0,56.965,0.0,0.0,1
5,0.0,0.0,0.08891999999988798,631.234375,16.64092202875985,0.0,0.0,55.991,0.0,0.0,1
5,0.0,0.0,0.11029500000006465,631.234375,16.64092202875985,0.0,0.0,56.478,0.0,0.0,1
5,0.0,0.0,0.21093499999992105,631.234375,16.64092202875985,0.0,0.0,55.991,0.0,0.0,1
5,0.0,0.0,0.12003000000007091,631.234375,16.64092202875985,0.0,0.0,55.991,0.0,0.0,1
5,0.0,14.0,0.07690499999995382,631.234375,16.64092202875985,0.0,0.0,55.991,0.0,0.0,1
5,0.0,0.0,0.1449800000000323,631.234375,16.64092202875985,0.0,0.0,55.991,0.0,0.0,1
5,0.0,0.0,0.163545000000056,631.234375,16.64092202875985,0.0,0.0,55.504,0.0,0.0,1
5,0.0,0.0,0.11032999999997628,631.234375,16.64092202875985,0.0,0.0,55.991,0.0,0.0,1
6,0.0,0.0,0.10090833333329385,631.234375,16.64092202875985,0.0,0.0,55.504,0.0,0.0,1
5,0.0,0.0,0.11904000000001248,631.234375,16.64092202875985,0.0,0.0,55.991,0.0,0.0,1
5,0.0,0.0,0.1350150000000383,631.234375,16.64092202875985,0.0,0.0,56.965,0.0,0.0,1
5,0.0,0.0,0.10530500000001553,631.234375,16.64092202875985,0.0,0.0,55.017,0.0,0.0,1
5,0.0,0.0,0.12900999999999385,631.234375,16.64092202875985,0.0,0.0,54.53,0.0,0.0,1
5,0.0,0.0,0.1398549999998977,631.234375,16.64092202875985,0.0,0.0,55.504,0.0,0.0,1
5,0.0,0.0,0.1504500000000064,631.234375,16.64092202875985,0.0,0.0,55.017,0.0,0.0,1
5,0.0,0.0,0.10539500000007253,631.234375,16.64092202875985,0.0,0.0,54.043,0.0,0.0,1
5,0.0,0.0,0.0842249999999467,631.234375,16.64092202875985,0.0,0.0,53.556,0.0,0.0,1
5,0.0,0.0,0.1958199999999977,631.234375,16.64092202875985,0.0,0.0,55.504,0.0,0.0,1
5,0.0,0.0,0.12388500000000136,631.234375,16.64092202875985,0.0,0.0,55.017,0.0,0.0,1
5,0.0,0.0,0.12443500000003382,631.234375,16.64092202875985,0.0,0.0,54.53,0.0,0.0,1
6,0.0,0.0,0.0839416666667129,631.234375,16.64092202875985,0.0,0.0,54.53,0.0,0.0,1
5,0.0,0.0,0.098404999999957,631.234375,16.64092202875985,0.0,0.0,54.53,0.0,0.0,1
5,0.0,0.0,0.13756999999998243,631.234375,16.64092202875985,0.0,0.0,54.53,0.0,0.0,1
5,0.0,0.0,0.15594000000007213,631.234375,16.64092202875985,0.0,0.0,55.017,0.0,0.0,1
5,0.0,0.0,0.11338999999992438,631.234375,16.64092202875985,0.0,0.0,54.043,0.0,0.0,1
5,0.0,0.0,0.08248500000007652,631.234375,16.64092202875985,0.0,0.0,54.53,0.0,0.0,1
5,0.0,0.0,0.1374049999999727,631.234375,16.64092202875985,0.0,0.0,54.043,0.0,0.0,1
5,0.0,0.0,0.1284749999999235,631.234375,16.64092202875985,0.0,0.0,53.556,0.0,0.0,1
5,0.0,0.0,0.19446999999999548,631.234375,16.64092202875985,0.0,0.0,54.53,0.0,0.0,1
5,0.0,0.0,0.09399000000001934,631.234375,16.64092202875985,0.0,0.0,55.017,0.0,0.0,1
5,0.0,0.0,0.12934999999998809,631.234375,16.64092202875985,0.0,0.0,54.53,0.0,0.0,1
5,0.0,0.0,0.11497000000005643,631.234375,16.64092202875985,0.0,0.0,55.017,0.0,0.0,1
5,16078.2,2619855.4,16.393254999999982,704.31640625,18.56754775115439,0.0,0.0,58.426,3754.0,0.0,1
5,8.4,8.4,55.99179500000005,710.83203125,18.73931597526867,0.0,0.0,58.913,350.8,0.0,1
6,0.0,0.0,64.842575,712.765625,18.790290358324167,0.0,0.0,59.887,84.83333333333333,0.0,1
5,0.0,0.0,52.43512999999993,713.03125,18.797292899834822,0.0,0.0,61.348,13.6,0.0,1
5,0.0,0.0,63.71806500000006,587.5703125,15.489827778670259,0.0,0.0,57.939,103.4,0.0,1
5,0.0,0.0,6.688979999999986,601.3125,15.852106323294985,0.0,0.0,56.478,731.0,0.0,1
5,0.0,0.0,0.11086500000004663,601.3125,15.852106323294985,0.0,0.0,56.965,0.0,0.0,1
5,60.2,35.0,2.7138149999998973,578.8828125,15.260803479851218,0.0,0.0,55.991,0.0,0.0,1
5,8.4,8.4,0.12760499999998842,578.8828125,15.260803479851218,0.0,0.0,56.478,0.0,0.0,1
5,0.0,0.0,0.08706500000002393,578.8828125,15.260803479851218,0.0,0.0,55.504,0.0,0.0,1
5,0.0,0.0,0.2328350000000512,578.8828125,15.260803479851218,0.0,0.0,55.504,0.0,0.0,1
5,0.0,0.0,0.09635500000001684,578.8828125,15.260803479851218,0.0,0.0,55.991,0.0,0.0,1
5,0.0,0.0,0.12394499999999198,578.8828125,15.260803479851218,0.0,0.0,55.017,0.0,0.0,1
5,0.0,0.0,0.10830999999996038,578.8828125,15.260803479851218,0.0,0.0,55.017,0.0,0.0,1
5,0.0,0.0,0.19711000000000922,578.8828125,15.260803479851218,0.0,0.0,55.017,0.0,0.0,1
5,0.0,0.0,0.09828499999997575,578.8828125,15.260803479851218,0.0,0.0,54.53,0.0,0.0,1
5,0.0,0.0,0.10463999999998919,578.8828125,15.260803479851218,0.0,0.0,55.017,0.0,0.0,1
6,0.0,11.666666666666666,0.12022916666663737,578.8828125,15.260803479851218,0.0,0.0,54.043,0.0,0.0,1
5,0.0,0.0,0.11721500000007266,578.8828125,15.260803479851218,0.0,0.0,54.53,0.0,0.0,1
5,0.0,0.0,0.1585099999999784,578.8828125,15.260803479851218,0.0,0.0,55.017,0.0,0.0,1
5,0.0,0.0,0.09890999999996099,578.8828125,15.260803479851218,0.0,0.0,55.017,0.0,0.0,1
5,0.0,0.0,0.15872999999999138,578.8828125,15.260803479851218,0.0,0.0,54.53,0.0,0.0,1
5,15599.4,2633483.6,0.9913250000001029,603.94921875,15.921616845643388,0.0,0.0,57.452,1270.6,0.0,1
5,8.4,8.4,48.276314999999954,741.671875,19.552331640365946,0.0,0.0,57.939,7022.2,0.0,1
5,0.0,0.0,64.01579999999996,754.55859375,19.8920578821843,0.0,0.0,59.887,675.4,0.0,1
5,0.0,0.0,70.52436,754.3671875,19.887011933154565,0.0,0.0,60.861,2.6,0.0,1
5,0.0,0.0,59.29673500000007,754.4453125,19.889071504187108,0.0,0.0,59.887,4.0,0.0,1
5,0.0,0.0,52.04700000000002,754.47265625,19.8897923540485,0.0,0.0,59.887,1.4,0.0,1
5,0.0,0.0,100.0,759.734375,20.028504463090428,0.0,0.0,61.835,269.6,0.0,1
5,0.0,0.0,53.60182000000009,759.65234375,20.026341913506254,0.0,0.0,61.835,3.4,0.0,1
5,0.0,0.0,69.79219499999999,760.21484375,20.041170824940583,0.0,0.0,60.374,26.0,0.0,1
6,2164583.0,2897.5,19.632450000000055,706.1015625,18.61460894924805,0.0,0.0,58.426,3502.0,0.0,1
5,0.0,0.0,0.09172500000005357,705.9921875,18.61172554980249,0.0,0.0,57.939,0.0,0.0,1
5,8.4,8.4,0.13251999999994268,705.9921875,18.61172554980249,0.0,0.0,56.478,0.0,0.0,1
