Time_stamp(s),Net_transmit(B/s),Net_receive(B/s),CPU_usage(%),RAM_usage(MB),RAM_usage(%),Swap_usage(MB),Swap_usage(%),Temp(ºC),Mem_faults,Mem_majfaults,Ejecucion
5,0.0,0.0,0.12712500000000126,204.875,5.40111362955289,0.0,0.0,51.608,0.0,0.0,1
5,20975.6,2636203.2,1.620859999999995,251.5390625,6.631316943666657,0.0,0.0,53.069,3006.8,0.0,1
5,8.4,8.4,31.30772500000001,372.09375,9.809496642325543,0.0,0.0,54.53,8858.2,0.0,1
5,0.0,0.0,23.108164999999996,390.47265625,10.294019209955318,0.0,0.0,52.582,3934.6,0.0,1
5,0.0,0.0,22.837189999999996,407.484375,10.742498653531865,0.0,0.0,55.017,3605.4,0.0,1
5,0.0,0.0,22.21547000000001,418.04296875,11.020854551577196,0.0,0.0,55.017,1974.2,0.0,1
5,0.0,0.0,30.46180999999999,467.33203125,12.320260663873153,0.0,0.0,54.53,3870.0,0.0,1
5,0.0,0.0,23.439064999999992,469.37109375,12.374016408889677,0.0,0.0,54.043,1652.0,0.0,1
5,0.0,0.0,28.34056500000003,480.60546875,12.670187908252743,0.0,0.0,56.965,2123.8,0.0,1
5,0.0,0.0,22.501914999999997,576.109375,15.187954593902123,0.0,0.0,55.017,4879.0,0.0,1
5,0.0,0.0,29.443734999999975,665.828125,17.553207374629142,0.0,0.0,56.478,4596.6,0.0,1
6,0.0,0.0,59.29961250000003,711.5625,18.758901364386716,0.0,0.0,58.426,2801.0,0.0,1
5,0.0,0.0,60.932899999999954,721.75390625,19.027577109114894,0.0,0.0,57.939,511.0,0.0,1
5,0.0,14.0,62.26482500000004,726.10546875,19.142297223958586,0.0,0.0,57.452,247.8,0.0,1
5,0.0,0.0,84.71753999999997,662.88671875,17.47566316773749,0.0,0.0,55.504,3275.0,0.0,1
5,2597664.6,3785.8,10.126575000000031,637.171875,16.79774349447356,0.0,0.0,54.043,7002.0,0.0,1
5,16.8,16.8,0.10917999999996651,637.171875,16.79774349447356,0.0,0.0,53.556,0.0,0.0,1
5,0.0,0.0,0.1374150000000185,637.171875,16.79774349447356,0.0,0.0,54.043,0.0,0.0,1
5,0.0,0.0,0.18299499999997693,637.171875,16.79774349447356,0.0,0.0,53.069,0.0,0.0,1
5,0.0,0.0,0.09857500000002516,637.171875,16.79774349447356,0.0,0.0,52.095,0.0,0.0,1
5,0.0,0.0,0.0965500000000219,637.171875,16.79774349447356,0.0,0.0,53.069,0.0,0.0,1
5,0.0,0.0,0.15453999999998302,637.171875,16.79774349447356,0.0,0.0,52.095,0.0,0.0,1
5,0.0,0.0,0.16033000000000186,637.171875,16.79774349447356,0.0,0.0,52.095,0.0,0.0,1
5,0.0,0.0,0.11947999999996739,637.171875,16.79774349447356,0.0,0.0,52.582,0.0,0.0,1
6,0.0,0.0,0.07535000000000736,637.171875,16.79774349447356,0.0,0.0,53.069,0.0,0.0,1
5,0.0,0.0,0.14422500000002003,637.171875,16.79774349447356,0.0,0.0,52.095,0.0,0.0,1
5,0.0,0.0,0.10241000000000612,637.171875,16.79774349447356,0.0,0.0,53.069,0.0,0.0,1
5,0.0,0.0,0.08991999999999223,637.171875,16.79774349447356,0.0,0.0,51.608,0.0,0.0,1
5,0.0,0.0,0.21917999999999438,637.171875,16.79774349447356,0.0,0.0,51.608,0.0,0.0,1
5,0.0,0.0,0.08341000000001486,637.171875,16.79774349447356,0.0,0.0,52.582,0.0,0.0,1
5,0.0,0.0,0.1255700000000104,637.171875,16.79774349447356,0.0,0.0,51.608,0.0,0.0,1
5,0.0,0.0,0.10014499999996929,637.171875,16.79774349447356,0.0,0.0,51.608,0.0,0.0,1
5,0.0,0.0,0.10364000000002704,637.171875,16.79774349447356,0.0,0.0,52.095,0.0,0.0,1
5,0.0,0.0,0.18253999999998882,637.171875,16.79774349447356,0.0,0.0,52.582,0.0,0.0,1
5,0.0,0.0,0.1252850000000194,637.171875,16.79774349447356,0.0,0.0,52.095,0.0,0.0,1
5,0.0,0.0,0.08344999999998493,637.171875,16.79774349447356,0.0,0.0,52.095,0.0,0.0,1
5,0.0,14.0,0.14105499999999438,637.171875,16.79774349447356,0.0,0.0,51.121,0.0,0.0,1
5,0.0,0.0,0.17305499999999086,637.171875,16.79774349447356,0.0,0.0,53.069,0.0,0.0,1
6,0.0,0.0,0.11752499999998871,637.171875,16.79774349447356,0.0,0.0,52.095,0.0,0.0,1
5,0.0,0.0,0.12396000000002515,637.171875,16.79774349447356,0.0,0.0,51.608,0.0,0.0,1
5,0.0,0.0,0.08893999999997959,637.171875,16.79774349447356,0.0,0.0,52.582,0.0,0.0,1
5,0.0,0.0,0.13521000000004335,637.171875,16.79774349447356,0.0,0.0,51.608,0.0,0.0,1
5,0.0,0.0,0.1937949999999944,637.171875,16.79774349447356,0.0,0.0,51.608,0.0,0.0,1
5,0.0,0.0,0.10938499999994633,637.171875,16.79774349447356,0.0,0.0,51.608,0.0,0.0,1
5,0.0,0.0,0.09361500000004241,637.171875,16.79774349447356,0.0,0.0,51.121,0.0,0.0,1
5,0.0,0.0,0.1046050000000065,637.171875,16.79774349447356,0.0,0.0,51.121,0.0,0.0,1
5,0.0,0.0,0.21091499999997151,637.171875,16.79774349447356,0.0,0.0,51.608,0.0,0.0,1
5,0.0,0.0,0.10641499999998415,637.171875,16.79774349447356,0.0,0.0,51.121,0.0,0.0,1
5,0.0,0.0,0.07986500000001229,637.171875,16.79774349447356,0.0,0.0,51.121,0.0,0.0,1
5,0.0,0.0,0.13151999999998054,637.171875,16.79774349447356,0.0,0.0,51.608,0.0,0.0,1
6,0.0,0.0,0.09440416666670615,637.171875,16.79774349447356,0.0,0.0,50.147,0.0,0.0,1
