Time_stamp(s),Net_transmit(B/s),Net_receive(B/s),CPU_usage(%),RAM_usage(MB),RAM_usage(%),Swap_usage(MB),Swap_usage(%),Temp(ºC),Mem_faults,Mem_majfaults,Ejecucion
5,8.4,22.4,0.13167999999999402,209.8203125,5.531486758271124,0.0,0.0,63.783,0.6,0.0,1
5,0.0,0.0,0.09367500000000639,209.8203125,5.531486758271124,0.0,0.0,64.27,0.0,0.0,1
5,18951.0,2635649.8,22.854405,355.56640625,9.373786762699279,0.0,0.0,65.731,10719.8,0.0,1
5,0.0,14.0,47.51856499999999,392.5859375,10.349731581706157,0.0,0.0,65.731,7110.8,0.0,1
5,0.0,0.0,25.19571000000001,406.30078125,10.711295606137217,0.0,0.0,64.757,2676.0,0.0,1
5,0.0,0.0,30.008709999999983,455.7109375,12.013894109420747,0.0,0.0,65.731,3839.8,0.0,1
5,0.0,0.0,17.859995000000026,452.65234375,11.933260491895961,0.0,0.0,65.244,1408.8,0.0,1
5,0.0,0.0,33.556644999999996,466.44921875,12.296987103770213,0.0,0.0,65.244,2459.6,0.0,1
5,0.0,0.0,21.699424999999977,552.9140625,14.57645724925056,0.0,0.0,66.218,4430.8,0.0,1
5,0.0,14.0,40.263310000000025,676.4609375,17.83351989940879,0.0,0.0,67.679,6321.0,0.0,1
5,0.0,0.0,63.74004999999997,711.63671875,18.760857991121032,0.0,0.0,67.192,1777.8,0.0,1
5,0.0,0.0,43.96981000000004,718.51171875,18.942103414931534,0.0,0.0,68.166,359.4,0.0,1
5,0.0,0.0,67.96724499999996,724.39453125,19.097191828714834,0.0,0.0,69.14,313.6,0.0,1
5,0.0,0.0,56.12526500000001,726.65625,19.156817453934313,0.0,0.0,68.166,115.6,0.0,1
5,0.0,0.0,69.42035500000003,728.3828125,19.202334770595815,0.0,0.0,68.653,88.2,0.0,1
6,0.0,0.0,56.07300833333326,728.5234375,19.206042063355575,0.0,0.0,70.114,6.0,0.0,1
5,0.0,0.0,54.02058000000011,732.66015625,19.315098258705188,0.0,0.0,67.192,270.6,0.0,1
5,0.0,0.0,37.45978999999991,644.75390625,16.997628362437297,0.0,0.0,68.166,2388.8,0.0,1
5,0.0,0.0,56.36570000000006,653.0859375,17.21728545845309,0.0,0.0,68.653,480.6,0.0,1
5,2597636.0,3548.2,11.142719999999997,648.25,17.089795779659113,0.0,0.0,64.757,7102.8,0.0,1
5,16.8,16.8,0.12540500000000065,648.09765625,17.08577954583604,0.0,0.0,63.296,0.0,0.0,1
5,13406.6,2617216.2,13.609809999999953,715.359375,18.858998268900244,0.0,0.0,66.705,3470.6,0.0,1
5,0.0,0.0,46.58670999999998,716.5625,18.89071621806708,0.0,0.0,68.653,64.2,0.0,1
5,0.0,0.0,76.98312000000001,717.125,18.90554538910612,0.0,0.0,69.627,28.8,0.0,1
5,0.0,0.0,65.3067750000001,719.84765625,18.97732269614926,0.0,0.0,69.14,129.0,0.0,1
6,0.0,0.0,51.39376249999993,720.578125,18.99658002242912,0.0,0.0,69.627,41.666666666666664,0.0,1
5,0.0,0.0,22.10910999999996,627.1484375,16.533495904986207,0.0,0.0,65.731,833.4,0.0,1
5,0.0,0.0,0.14857000000006337,627.01171875,16.529891592580885,0.0,0.0,63.783,0.0,0.0,1
5,25254.4,2638706.2,4.091125000000062,622.15234375,16.40178403166028,0.0,0.0,65.731,1925.6,0.0,1
5,8.4,8.4,47.692414999999926,758.80859375,20.004448751311713,0.0,0.0,68.653,6960.2,0.0,1
5,0.0,0.0,72.40671000000006,761.51953125,20.075917117291535,0.0,0.0,69.14,165.8,0.0,1
5,0.0,0.0,64.25297,764.484375,20.154079206309813,0.0,0.0,68.653,151.4,0.0,1
5,0.0,0.0,58.82761499999987,764.5234375,20.15510900985419,0.0,0.0,69.14,2.0,0.0,1
5,0.0,0.0,56.34352000000007,764.67578125,20.159125243677263,0.0,0.0,68.653,7.4,0.0,1
5,0.0,0.0,53.85133999999994,764.94140625,20.166127907779032,0.0,0.0,69.627,7.2,0.0,1
5,0.0,0.0,61.522170000000074,764.8515625,20.163759359626965,0.0,0.0,68.166,1.8,0.0,1
6,0.0,0.0,56.51523333333325,765.12109375,20.170865004083172,0.0,0.0,68.166,13.5,0.0,1
5,0.0,0.0,44.706700000000126,765.3671875,20.177352766412753,0.0,0.0,68.166,15.0,0.0,1
5,2625703.4,2642638.8,15.578544999999904,765.69140625,20.185900135831087,0.0,0.0,67.679,7615.6,0.0,1
5,8.4,8.4,50.33149500000007,765.73828125,20.187135900084343,0.0,0.0,70.114,3.8,0.0,1
5,0.0,0.0,69.36106499999994,765.90234375,20.19146107497073,0.0,0.0,67.679,19.4,0.0,1
5,0.0,0.0,12.149205000000052,765.84375,20.189916369654163,0.0,0.0,65.244,1.6,0.0,1
5,0.0,0.0,0.08295000000003938,765.84375,20.189916369654163,0.0,0.0,66.705,0.0,0.0,1
5,0.0,0.0,46.50563500000004,765.9765625,20.193417701705048,0.0,0.0,69.627,4.8,0.0,1
5,0.0,14.0,65.89363999999989,766.00390625,20.194138564186108,0.0,0.0,69.627,1.4,0.0,1
5,28211.2,2639326.6,60.09010499999988,806.75390625,21.268429621681072,0.0,0.0,69.627,5587.8,0.0,1
5,0.0,0.0,58.27805500000011,807.98828125,21.300971413683413,0.0,0.0,69.14,63.2,0.0,1
5,0.0,0.0,55.461224999999956,810.01171875,21.354315237282183,0.0,0.0,69.14,103.0,0.0,1
5,0.0,0.0,55.42067500000002,810.0234375,21.354624178345496,0.0,0.0,70.114,0.6,0.0,1
5,0.0,0.0,69.29944500000005,810.28125,21.36142088173839,0.0,0.0,68.653,0.6,0.0,1
6,0.0,0.0,45.335433333333455,810.0546875,21.355448021181,0.0,0.0,70.601,0.6666666666666666,0.0,1
5,0.0,0.0,63.678304999999966,810.3125,21.36224472457389,0.0,0.0,70.114,0.6,0.0,1
5,0.0,0.0,69.78146999999979,810.12890625,21.357404647915317,0.0,0.0,70.114,6.0,0.0,1
5,0.0,0.0,43.129135000000076,810.234375,21.360185117485138,0.0,0.0,71.575,8.0,0.0,1
5,1412002.0,1592.6,34.72062499999993,740.6484375,19.525693083530456,0.0,0.0,66.218,2275.6,0.0,1
5,1191175.2,1196490.4,0.6752250000002391,703.734375,18.552528734093396,0.0,0.0,67.679,88.4,0.0,1
5,13921.2,1431958.6,74.43318999999974,770.328125,20.308137816548737,0.0,0.0,69.627,3408.0,0.0,1
5,0.0,0.0,54.07656000000003,770.44140625,20.311124246827433,0.0,0.0,70.601,5.8,0.0,1
5,0.0,0.0,70.59371999999996,770.53515625,20.31359577533394,0.0,0.0,70.114,7.4,0.0,1
5,0.0,0.0,64.43421000000001,770.5625,20.314316637815004,0.0,0.0,70.601,1.4,0.0,1
5,14918.8,2618127.4,20.69225500000016,810.5625,21.36883546725791,0.0,0.0,69.627,5796.6,0.0,1
5,0.0,0.0,57.61912999999993,810.56640625,21.368938447612347,0.0,0.0,68.653,0.2,0.0,1
5,0.0,0.0,48.44110499999999,810.609375,21.370071231511165,0.0,0.0,69.627,2.0,0.0,1
5,0.0,0.0,67.78847499999983,810.6171875,21.37027719222004,0.0,0.0,70.114,0.4,0.0,1
6,0.0,0.0,42.00450833333349,810.6484375,21.371101035055542,0.0,0.0,69.14,1.3333333333333333,0.0,1
5,0.0,0.0,59.32195999999976,810.9296875,21.378515620575065,0.0,0.0,71.088,14.4,0.0,1
5,0.0,0.0,100.0,812.94921875,21.431756463819397,0.0,0.0,69.627,103.4,0.0,1
5,0.0,0.0,18.422124999999596,812.875,21.429799837085078,0.0,0.0,67.192,0.8,0.0,1
5,0.0,0.0,44.8506500000002,813.375,21.442981322453118,0.0,0.0,70.114,12.0,0.0,1
5,2597479.4,3366.6,43.98034499999994,709.36328125,18.700923424838244,0.0,0.0,67.192,2501.8,0.0,1
5,19935.8,2632971.4,54.89975500000014,778.45703125,20.522439934133764,0.0,0.0,71.088,3524.8,0.0,1
5,0.0,0.0,56.78369499999973,778.80078125,20.53150220532429,0.0,0.0,70.601,5.4,0.0,1
5,0.0,0.0,26.90874000000008,778.55078125,20.524911462640272,0.0,0.0,66.705,3.2,0.0,1
5,0.0,0.0,0.07418000000029679,778.53125,20.524396560868084,0.0,0.0,65.731,0.0,0.0,1
5,0.0,0.0,34.80021999999963,778.78515625,20.53109028390654,0.0,0.0,69.627,10.8,0.0,1
5,0.0,0.0,63.73482500000023,778.9375,20.535106517729613,0.0,0.0,70.114,7.8,0.0,1
5,27221.2,2640277.0,43.93549500000006,818.33984375,21.57386935294354,0.0,0.0,69.627,5785.2,0.0,1
5,0.0,0.0,55.321735,818.48046875,21.5775766457033,0.0,0.0,69.627,4.0,0.0,1
6,0.0,0.0,52.65670833333331,818.2421875,21.571294844082594,0.0,0.0,69.627,0.3333333333333333,0.0,1
5,0.0,0.0,54.06025499999998,818.25,21.57150080479147,0.0,0.0,70.601,0.4,0.0,1
5,0.0,0.0,61.92408999999998,818.51171875,21.5784004885388,0.0,0.0,70.114,0.8,0.0,1
5,0.0,0.0,74.00238999999999,820.51953125,21.631332390719823,0.0,0.0,70.114,115.6,0.0,1
5,0.0,0.0,51.86037499999998,820.52734375,21.6315383514287,0.0,0.0,70.601,0.4,0.0,1
5,0.0,0.0,70.47342000000015,827.33203125,21.81093012885932,0.0,0.0,69.627,347.8,0.0,1
5,0.0,0.0,7.323299999999904,827.24609375,21.808664561061686,0.0,0.0,68.166,0.6,0.0,1
5,0.0,0.0,42.42230500000005,827.3515625,21.811445030631507,0.0,0.0,67.679,7.8,0.0,1
5,0.0,0.0,43.55282999999986,597.80859375,15.760010462804011,0.0,0.0,68.653,1243.6,0.0,1
5,2616900.4,2638687.6,59.0253899999999,729.36328125,19.228182839559697,0.0,0.0,71.088,10160.0,0.0,1
5,0.0,0.0,59.3695200000002,729.4765625,19.231169269838393,0.0,0.0,70.601,6.2,0.0,1
5,0.0,0.0,60.21560000000022,730.3828125,19.25506071206796,0.0,0.0,72.062,54.8,0.0,1
6,0.0,0.0,56.51975833333296,730.42578125,19.256193495966777,0.0,0.0,71.088,7.0,0.0,1
5,60.2,49.0,30.84396500000025,662.609375,17.46835156257241,0.0,0.0,66.218,16.4,0.0,1
5,0.0,0.0,0.20293499999979756,662.609375,17.46835156257241,0.0,0.0,65.731,0.0,0.0,1
5,29352.2,2639186.0,3.88614500000017,773.99609375,20.404836369365817,0.0,0.0,67.679,5685.2,0.0,1
5,0.0,0.0,48.52049000000022,802.76171875,21.163183699445657,0.0,0.0,69.14,1459.2,0.0,1
5,0.0,0.0,66.1791999999997,802.83203125,21.16503734582554,0.0,0.0,69.627,14.6,0.0,1
5,0.0,0.0,67.87552000000005,809.84375,21.34988708204136,0.0,0.0,69.627,363.6,0.0,1
5,0.0,0.0,52.36462500000017,809.9453125,21.352564571256742,0.0,0.0,70.114,5.2,0.0,1
5,0.0,0.0,62.1548150000001,811.21484375,21.386033186449023,0.0,0.0,69.627,64.8,0.0,1
5,0.0,0.0,52.2366999999997,811.5,21.39355075232298,0.0,0.0,71.088,2.2,0.0,1
5,0.0,0.0,72.00887000000023,813.00390625,21.433198188781528,0.0,0.0,69.627,89.4,0.0,1
6,0.0,0.0,53.43903333333344,813.14453125,21.436905481541285,0.0,0.0,71.088,8.166666666666666,0.0,1
5,2597439.8,3432.6,47.366289999999935,705.19140625,18.59094040629869,0.0,0.0,67.192,2348.6,0.0,1
5,16.8,16.8,0.10708499999964259,705.00390625,18.585997349285677,0.0,0.0,66.705,0.0,0.0,1
5,12931.4,2620977.4,56.73846500000025,749.94140625,19.770683346737943,0.0,0.0,69.14,3848.0,0.0,1
5,0.0,0.0,46.92620999999974,749.78125,19.766461152205995,0.0,0.0,70.601,4.2,0.0,1
5,0.0,0.0,75.92104500000005,750.15234375,19.776244285877585,0.0,0.0,71.575,9.0,0.0,1
5,0.0,0.0,52.440144999999916,750.05078125,19.7735667966622,0.0,0.0,71.575,7.4,0.0,1
5,60.2,35.0,41.333530000000565,676.56640625,17.836300368978613,0.0,0.0,67.192,8.6,0.0,1
5,15888.2,2628335.6,49.809099999999944,808.6640625,21.31878701500115,0.0,0.0,69.14,6733.0,0.0,1
5,0.0,0.0,64.23680999999988,808.4453125,21.313020115152632,0.0,0.0,70.601,1.4,0.0,1
5,0.0,0.0,48.40396499999997,808.4609375,21.313432036570383,0.0,0.0,70.601,0.8,0.0,1
5,0.0,0.0,75.19523499999991,810.41796875,21.365025194143712,0.0,0.0,70.114,88.0,0.0,1
5,0.0,0.0,49.3569500000001,810.47265625,21.366466919105843,0.0,0.0,71.575,15.0,0.0,1
5,0.0,0.0,71.88890000000015,812.98046875,21.4325803066549,0.0,0.0,70.601,128.4,0.0,1
5,0.0,0.0,37.83768000000009,812.984375,21.43268328700934,0.0,0.0,70.601,0.2,0.0,1
5,0.0,0.0,50.24265499999956,812.94140625,21.431550503110522,0.0,0.0,66.705,1.0,0.0,1
6,0.0,0.0,22.99677916666667,814.3046875,21.46749064680931,0.0,0.0,69.14,47.166666666666664,0.0,1
5,0.0,0.0,45.693935000000465,814.203125,21.464813157593927,0.0,0.0,69.627,9.8,0.0,1
5,2624495.2,2643338.8,28.78548999999907,775.80078125,20.452413293116074,0.0,0.0,70.601,5785.2,0.0,1
5,8.4,8.4,51.53490000000034,776.12890625,20.461063642888845,0.0,0.0,71.088,4.2,0.0,1
5,0.0,0.0,71.64678999999978,776.51953125,20.471361678332624,0.0,0.0,69.627,7.4,0.0,1
5,0.0,0.0,3.1024150000007467,775.95703125,20.456532507293584,0.0,0.0,65.731,1.0,0.0,1
5,0.0,0.0,3.274000000000114,776.07421875,20.459621917926718,0.0,0.0,67.679,3.8,0.0,1
5,0.0,0.0,57.2988799999996,776.33984375,20.466624582028487,0.0,0.0,69.627,1.0,0.0,1
5,0.0,0.0,62.15269000000034,776.36328125,20.467242464155113,0.0,0.0,68.653,1.6,0.0,1
5,0.0,0.0,9.13716499999964,776.3125,20.46590371954742,0.0,0.0,65.731,14.2,0.0,1
5,0.0,0.0,0.09223000000019965,776.3125,20.46590371954742,0.0,0.0,65.244,0.0,0.0,1
5,28660.0,2639577.4,30.004020000000082,818.1640625,21.56923523699384,0.0,0.0,68.653,5606.2,0.0,1
5,16.8,16.8,72.01960999999983,818.1796875,21.56964715841159,0.0,0.0,70.114,0.8,0.0,1
5,0.0,0.0,55.835514999999994,818.18359375,21.56975013876603,0.0,0.0,69.14,0.2,0.0,1
5,0.0,0.0,68.44813999999928,818.203125,21.570265040538217,0.0,0.0,69.627,1.0,0.0,1
