Time_stamp(s),Net_transmit(B/s),Net_receive(B/s),CPU_usage(%),RAM_usage(MB),RAM_usage(%),Swap_usage(MB),Swap_usage(%),Temp(ºC),Mem_faults,Mem_majfaults,Ejecucion
5,8.4,22.4,0.1307249999999982,204.81640625,5.399568924236323,0.0,0.0,61.348,0.2,0.0,1
5,21530.0,2639106.4,12.405860000000004,361.671875,9.534745056685535,0.0,0.0,62.809,9852.6,0.0,1
5,0.0,0.0,21.064499999999995,353.5703125,9.321163801581573,0.0,0.0,64.757,1784.8,0.0,1
5,0.0,0.0,21.690975000000005,370.5234375,9.768098539841555,0.0,0.0,63.783,3647.6,0.0,1
5,0.0,14.0,25.908014999999995,391.09765625,10.310496066665362,0.0,0.0,62.809,4163.2,0.0,1
5,0.0,0.0,31.53742000000001,419.00390625,11.046187718768891,0.0,0.0,62.809,2984.6,0.0,1
5,0.0,0.0,21.59485,437.6796875,11.538536793335934,0.0,0.0,62.809,3141.4,0.0,1
5,0.0,0.0,23.48914999999998,449.30078125,11.844903347788343,0.0,0.0,62.322,1249.4,0.0,1
5,0.0,0.0,27.107995000000003,493.14453125,13.000754845998028,0.0,0.0,63.783,3328.2,0.0,1
6,0.0,0.0,23.003795833333353,566.92578125,14.94584778061889,0.0,0.0,63.783,3149.0,0.0,1
5,0.0,0.0,35.37803499999999,675.90625,17.818896689078624,0.0,0.0,65.731,5568.8,0.0,1
5,0.0,14.0,74.41718999999999,699.3203125,18.4361609335787,0.0,0.0,66.705,1208.6,0.0,1
5,0.0,0.0,63.28233500000003,705.48828125,18.598766913235963,0.0,0.0,67.192,1357.8,0.0,1
5,0.0,0.0,60.376385,709.57421875,18.706484363977886,0.0,0.0,66.705,211.4,0.0,1
5,0.0,0.0,49.75313999999997,712.578125,18.78567625654054,0.0,0.0,65.731,143.8,0.0,1
5,0.0,0.0,70.66074999999998,705.109375,18.588777818855498,0.0,0.0,68.166,2130.8,0.0,1
5,0.0,0.0,100.0,721.33984375,19.01666119154449,0.0,0.0,67.192,413.6,0.0,1
5,0.0,0.0,53.96004500000004,652.4765625,17.201220523160796,0.0,0.0,66.705,2438.4,0.0,1
5,626788.4,681.8,47.80090999999999,659.734375,17.3925580217062,0.0,0.0,66.705,7363.0,0.0,1
5,1970781.6,2760.8,0.2102750000000242,643.26171875,16.958289867042065,0.0,0.0,64.27,0.0,0.0,1
5,16.8,16.8,0.11859000000001174,643.26171875,16.958289867042065,0.0,0.0,62.322,0.0,0.0,1
5,23636.8,2638944.4,6.229829999999907,704.53125,18.573536726398704,0.0,0.0,63.296,3152.2,0.0,1
6,0.0,0.0,43.77072916666667,715.984375,18.875475125610286,0.0,0.0,65.731,491.5,0.0,1
5,0.0,0.0,59.15925000000002,716.38671875,18.88608210211738,0.0,0.0,67.192,32.4,0.0,1
5,0.0,14.0,28.32359499999996,718.109375,18.931496438424443,0.0,0.0,64.757,92.6,0.0,1
5,0.0,0.0,0.14180500000009033,718.109375,18.931496438424443,0.0,0.0,62.809,0.0,0.0,1
5,0.0,0.0,34.984740000000016,718.390625,18.938911023943962,0.0,0.0,64.27,12.4,0.0,1
