Time_stamp(s),Net_transmit(B/s),Net_receive(B/s),CPU_usage(%),RAM_usage(MB),RAM_usage(%),Swap_usage(MB),Swap_usage(%),Temp(ºC),Mem_faults,Mem_majfaults,Ejecucion
5,8.4,8.4,0.13743999999999978,204.8515625,5.40040120443714,0.0,0.0,66.705,0.2,0.0,1
5,18313.8,2627262.6,15.268084999999996,350.84375,9.24912159295462,0.0,0.0,66.218,9510.2,0.0,1
5,0.0,14.0,23.451209999999996,348.203125,9.179508092054586,0.0,0.0,66.705,1777.0,0.0,1
5,0.0,0.0,29.075165,368.2890625,9.709023804521994,0.0,0.0,66.705,4276.0,0.0,1
5,0.0,0.0,50.63703500000001,394.078125,10.38888820236521,0.0,0.0,67.192,5177.6,0.0,1
5,0.0,0.0,25.203665000000015,439.7890625,11.59394321350749,0.0,0.0,67.679,3191.8,0.0,1
5,0.0,0.0,22.451824999999985,438.171875,11.551310093133802,0.0,0.0,67.679,1418.4,0.0,1
5,0.0,14.0,30.63292000000001,449.078125,11.838826209277132,0.0,0.0,67.679,2082.2,0.0,1
5,0.0,0.0,23.11073499999999,536.265625,14.137307481597732,0.0,0.0,67.192,4669.8,0.0,1
5,0.0,0.0,26.66523999999999,560.515625,14.776598330099807,0.0,0.0,66.705,1252.4,0.0,1
5,0.0,0.0,40.29472000000002,674.5390625,17.782542252099734,0.0,0.0,69.627,5824.0,0.0,1
5,0.0,0.0,58.83690999999999,689.96484375,18.18920455247581,0.0,0.0,68.653,786.2,0.0,1
5,0.0,0.0,74.85823000000003,703.92578125,18.557249895991664,0.0,0.0,68.653,726.2,0.0,1
5,0.0,0.0,58.59251999999998,704.2109375,18.564767330260455,0.0,0.0,68.653,14.2,0.0,1
6,0.0,0.0,45.58633333333333,706.4921875,18.624906804410777,0.0,0.0,69.627,92.33333333333333,0.0,1
5,0.0,0.0,57.98996500000001,706.3984375,18.622435319171725,0.0,0.0,68.653,0.8,0.0,1
