Time_stamp(s),Net_transmit(B/s),Net_receive(B/s),CPU_usage(%),RAM_usage(MB),RAM_usage(%),Swap_usage(MB),Swap_usage(%),Temp(ºC),Mem_faults,Mem_majfaults,Ejecucion
5,8.4,22.4,0.0795549999999956,204.859375,5.400701708135139,0.0,0.0,67.192,0.4,0.0,1
5,22836.8,2640650.8,1.0982700000000012,233.25390625,6.14926590454339,0.0,0.0,67.679,1429.0,0.0,1
5,13.2,0.0,30.044059999999995,371.3203125,9.789106532146864,0.0,0.0,68.653,11099.4,0.0,1
5,0.0,0.0,26.042395000000013,391.7578125,10.327899746565347,0.0,0.0,68.166,4344.2,0.0,1
5,0.0,14.0,23.922964999999987,410.6953125,10.827148504879725,0.0,0.0,69.14,3858.8,0.0,1
5,0.0,0.0,23.93779500000001,420.53515625,11.086556017708501,0.0,0.0,67.679,1969.2,0.0,1
5,0.0,0.0,26.65174500000001,466.91796875,12.309344746302747,0.0,0.0,67.679,3710.6,0.0,1
5,0.0,0.0,24.342504999999974,468.30078125,12.345799791773723,0.0,0.0,66.705,1579.0,0.0,1
5,0.0,0.0,24.13684,477.32421875,12.583684410525004,0.0,0.0,67.192,1715.2,0.0,1
5,0.0,0.0,29.10047500000001,586.9921875,15.474857861365788,0.0,0.0,68.653,5614.4,0.0,1
5,0.0,0.0,38.38398999999999,692.46875,18.25553339189483,0.0,0.0,69.14,5385.6,0.0,1
5,0.0,0.0,52.66230000000004,720.62109375,18.99771280632794,0.0,0.0,71.088,1444.0,0.0,1
5,0.0,14.0,70.83272000000001,723.0078125,19.060633802889424,0.0,0.0,72.062,129.8,0.0,1
5,0.0,0.0,54.645394999999944,727.16015625,19.170101919656787,0.0,0.0,69.627,212.0,0.0,1
6,0.0,0.0,59.61432916666668,715.5859375,18.864971129457633,0.0,0.0,70.601,485.6666666666667,0.0,1
5,0.0,0.0,64.71444500000004,728.390625,19.20254073130469,0.0,0.0,71.088,665.6,0.0,1
5,0.0,0.0,55.14036500000004,724.00390625,19.086893793271056,0.0,0.0,71.575,962.8,0.0,1
5,0.0,0.0,60.506314999999944,725.78125,19.13374985454025,0.0,0.0,69.627,1139.6,0.0,1
5,0.0,0.0,51.88111500000006,646.01953125,17.03099399727514,0.0,0.0,70.114,2499.8,0.0,1
5,2597580.2,3535.0,56.569954999999936,659.96484375,17.39863386261803,0.0,0.0,68.166,7237.2,0.0,1
5,16.8,16.8,0.11278500000003078,659.92578125,17.39760405907365,0.0,0.0,66.705,0.0,0.0,1
5,17630.8,2632014.4,28.782039999999963,721.328125,19.016352250481177,0.0,0.0,69.14,3173.6,0.0,1
5,0.0,0.0,63.224995000000064,721.8125,19.02912181443146,0.0,0.0,71.088,24.8,0.0,1
5,0.0,0.0,60.40692499999991,722.5546875,19.04868808177464,0.0,0.0,71.575,26.2,0.0,1
5,0.0,0.0,32.89137000000011,706.17578125,18.61689145561701,0.0,0.0,67.679,6.0,0.0,1
5,0.0,0.0,22.266019999999997,716.72265625,18.89493841259903,0.0,0.0,69.627,536.8,0.0,1
5,0.0,0.0,53.56251999999998,717.19921875,18.90750201584044,0.0,0.0,71.088,24.4,0.0,1
6,0.0,11.666666666666666,55.16622499999997,717.86328125,18.925008676094862,0.0,0.0,72.062,18.0,0.0,1
5,0.0,0.0,38.066670000000045,607.76171875,16.022404405911484,0.0,0.0,69.14,730.8,0.0,1
5,23982.0,2640211.0,55.906485,748.765625,19.73968626005217,0.0,0.0,71.575,10236.8,0.0,1
5,8.4,8.4,55.50438999999982,757.37109375,19.96655198087861,0.0,0.0,71.088,435.2,0.0,1
5,0.0,0.0,70.99255499999998,759.6171875,20.025765684680334,0.0,0.0,71.575,120.8,0.0,1
5,0.0,0.0,48.60735500000004,759.76953125,20.029781918503407,0.0,0.0,72.062,7.8,0.0,1
5,0.0,0.0,77.36396500000012,760.80078125,20.05696873207498,0.0,0.0,71.088,40.2,0.0,1
5,0.0,0.0,47.08202499999999,760.57421875,20.05099587151759,0.0,0.0,72.062,0.8,0.0,1
5,0.0,0.0,76.56832000000009,764.69921875,20.159743125803892,0.0,0.0,71.088,211.2,0.0,1
5,0.0,0.0,56.99389499999995,765.2890625,20.175293159323996,0.0,0.0,72.549,10.0,0.0,1
5,0.0,0.0,45.00747999999987,764.9765625,20.16705473096897,0.0,0.0,72.062,8.8,0.0,1
5,2612788.4,2623380.0,15.112704999999949,720.9765625,19.007084018581775,0.0,0.0,70.114,7932.0,0.0,1
5,16.8,16.8,61.73570000000013,729.34765625,19.227770918141946,0.0,0.0,72.062,414.8,0.0,1
6,0.0,0.0,60.17781250000004,729.50390625,19.231890132319457,0.0,0.0,73.036,6.333333333333333,0.0,1
5,0.0,0.0,41.58932499999992,729.41015625,19.22941860381295,0.0,0.0,73.523,10.0,0.0,1
5,0.0,0.0,79.77598999999998,729.66796875,19.236215307205846,0.0,0.0,73.036,1.6,0.0,1
5,0.0,0.0,58.58058999999998,729.45703125,19.230654368066205,0.0,0.0,72.549,1.2,0.0,1
5,0.0,0.0,23.951390000000004,729.703125,19.237142130395785,0.0,0.0,67.679,17.6,0.0,1
5,55.0,35.0,2.6562699999999495,652.421875,17.19977879819867,0.0,0.0,66.705,0.0,0.0,1
5,8.4,8.4,0.10318500000011,652.421875,17.19977879819867,0.0,0.0,65.731,0.0,0.0,1
5,29075.0,2639014.4,32.30592999999999,791.140625,20.85681714499325,0.0,0.0,69.14,7082.4,0.0,1
5,0.0,0.0,49.89736499999992,796.12109375,20.988117096901423,0.0,0.0,71.575,243.6,0.0,1
5,0.0,0.0,65.49651000000011,798.19921875,21.042902645462323,0.0,0.0,70.601,95.8,0.0,1
5,0.0,0.0,79.03088499999996,797.94140625,21.03610594206943,0.0,0.0,72.062,9.0,0.0,1
6,0.0,0.0,42.6011208333333,802.01953125,21.143617432102477,0.0,0.0,71.575,174.0,0.0,1
5,0.0,0.0,70.29837500000014,804.890625,21.21930799261425,0.0,0.0,70.601,146.8,0.0,1
5,0.0,0.0,40.794019999999875,804.90234375,21.219616933677564,0.0,0.0,71.088,0.6,0.0,1
5,0.0,0.0,79.456165,807.1796875,21.27965448031479,0.0,0.0,72.062,119.4,0.0,1
5,0.0,0.0,58.48635999999999,807.53515625,21.28902569256863,0.0,0.0,73.036,20.8,0.0,1
5,2597439.8,3221.4,15.955774999999903,699.00390625,18.42781952486924,0.0,0.0,68.653,3173.0,0.0,1
5,25453.4,2636588.2,13.822890000000143,761.34765625,20.07138598169627,0.0,0.0,69.627,3189.0,0.0,1
5,0.0,0.0,58.84919000000025,761.44921875,20.074063470911653,0.0,0.0,72.549,5.0,0.0,1
5,0.0,0.0,74.76014999999961,761.84765625,20.084567467064307,0.0,0.0,72.062,7.8,0.0,1
5,0.0,0.0,54.573325000000075,761.703125,20.08075719395011,0.0,0.0,73.036,7.6,0.0,1
5,0.0,14.0,62.78449500000022,761.85546875,20.084773427773182,0.0,0.0,73.036,7.8,0.0,1
5,0.0,0.0,67.58783999999991,762.0078125,20.088789661596255,0.0,0.0,73.036,7.8,0.0,1
5,25214.8,2634521.8,50.66361499999971,828.15625,21.83265898364569,0.0,0.0,72.549,6508.8,0.0,1
5,0.0,0.0,62.43184000000041,830.703125,21.899802174739126,0.0,0.0,72.062,130.2,0.0,1
6,0.0,0.0,40.97945416666657,830.96484375,21.906701858486457,0.0,0.0,72.549,0.6666666666666666,0.0,1
5,0.0,0.0,61.36975500000006,832.234375,21.940170473678737,0.0,0.0,71.575,77.6,0.0,1
5,0.0,0.0,65.9838400000001,832.234375,21.940170473678737,0.0,0.0,72.062,0.0,0.0,1
5,0.0,0.0,56.74120499999958,832.78125,21.954587723300026,0.0,0.0,71.088,28.0,0.0,1
5,0.0,0.0,59.6178500000002,832.8046875,21.955205605426652,0.0,0.0,73.036,1.0,0.0,1
5,0.0,0.0,67.15054500000008,833.1328125,21.963855955199428,0.0,0.0,73.036,5.4,0.0,1
5,0.0,0.0,60.02367499999991,832.98046875,21.959839721376355,0.0,0.0,73.523,8.4,0.0,1
5,2597439.8,3406.2,18.873909999999796,712.171875,18.77496629967901,0.0,0.0,68.653,2274.0,0.0,1
5,15126.0,2615852.8,46.033460000000446,758.6875,20.001256360324142,0.0,0.0,71.088,3747.2,0.0,1
5,0.0,0.0,58.73779499999955,758.54296875,19.997446087209944,0.0,0.0,73.036,5.2,0.0,1
5,0.0,0.0,50.25851500000045,758.65234375,20.000329537134203,0.0,0.0,73.036,5.6,0.0,1
6,0.0,0.0,66.26438750000005,758.98828125,20.00918584761585,0.0,0.0,74.497,6.166666666666667,0.0,1
5,0.0,0.0,54.466259999999814,759.01171875,20.009803729742476,0.0,0.0,73.523,1.0,0.0,1
5,0.0,0.0,53.35286999999994,760.828125,20.057689594556045,0.0,0.0,72.062,113.6,0.0,1
5,25988.4,2637016.6,50.84438999999975,814.5078125,21.472845625240073,0.0,0.0,72.062,7008.6,0.0,1
5,0.0,0.0,100.0,830.70703125,21.899905155093563,0.0,0.0,72.062,820.8,0.0,1
5,0.0,0.0,64.58252500000015,834.65625,22.004018293430164,0.0,0.0,72.062,210.8,0.0,1
5,0.0,0.0,68.18456499999968,809.4609375,21.339795007306456,0.0,0.0,73.523,299.6,0.0,1
5,0.0,0.0,62.918715000000134,824.9375,21.747803171588956,0.0,0.0,73.036,799.0,0.0,1
5,0.0,0.0,58.32032000000027,824.94921875,21.74811211265227,0.0,0.0,72.549,0.6,0.0,1
5,0.0,0.0,69.80733499999985,826.19921875,21.78106582607236,0.0,0.0,74.01,43.2,0.0,1
5,0.0,0.0,49.016955000000166,690.07421875,18.192406434624466,0.0,0.0,70.601,991.0,0.0,1
5,2618938.0,2639986.0,11.437009999999646,739.23046875,19.48831121486954,0.0,0.0,71.575,10332.0,0.0,1
6,7.0,7.0,52.10317083333346,747.74609375,19.71280838754391,0.0,0.0,72.549,379.6666666666667,0.0,1
5,0.0,0.0,77.40860499999997,748.0859375,19.721767678379994,0.0,0.0,73.523,18.2,0.0,1
5,0.0,0.0,48.36774999999989,748.03515625,19.720428933772304,0.0,0.0,73.036,11.4,0.0,1
5,0.0,0.0,61.262179999999944,748.94921875,19.744526336710745,0.0,0.0,73.523,47.0,0.0,1
5,0.0,0.0,63.61521000000039,750.27734375,19.77953965721959,0.0,0.0,74.01,56.8,0.0,1
5,0.0,0.0,25.18422999999984,750.34765625,19.781393303599472,0.0,0.0,69.627,19.6,0.0,1
5,21320.8,2637095.8,7.939099999999826,805.34375,21.231253713729032,0.0,0.0,69.14,7034.8,0.0,1
5,8.4,8.4,58.325290000000216,818.7578125,21.58488825086838,0.0,0.0,72.062,701.4,0.0,1
5,0.0,0.0,68.64806999999985,818.5703125,21.57994519385537,0.0,0.0,72.062,2.8,0.0,1
5,0.0,0.0,48.86511999999982,823.85546875,21.71927761340969,0.0,0.0,72.062,270.6,0.0,1
5,0.0,0.0,59.865870000000434,830.03515625,21.882192534130265,0.0,0.0,72.549,303.8,0.0,1
5,0.0,0.0,69.95531999999969,829.796875,21.87591073250956,0.0,0.0,72.062,0.4,0.0,1
6,0.0,0.0,46.02522916666676,829.8046875,21.876116693218435,0.0,0.0,73.523,0.3333333333333333,0.0,1
5,0.0,0.0,57.56033499999944,829.80859375,21.876219673572873,0.0,0.0,73.036,0.2,0.0,1
5,0.0,0.0,29.848985000000994,829.7578125,21.874880928965183,0.0,0.0,69.14,0.6,0.0,1
5,0.0,0.0,39.48523999999907,829.89453125,21.878485241370505,0.0,0.0,73.523,6.4,0.0,1
5,2623531.6,2641055.2,53.16370500000062,762.52734375,20.10248604873648,0.0,0.0,72.062,5324.8,0.0,1
5,8.4,8.4,63.31726499999946,770.71484375,20.318332871638077,0.0,0.0,73.523,408.6,0.0,1
5,0.0,0.0,67.9849850000005,770.7890625,20.320289498372397,0.0,0.0,74.01,16.4,0.0,1
5,0.0,0.0,53.96590500000003,743.69140625,19.605914779637487,0.0,0.0,73.523,119.4,0.0,1
5,0.0,0.0,74.80674499999964,743.72265625,19.606738622472992,0.0,0.0,73.036,1.6,0.0,1
5,0.0,0.0,59.099879999999985,743.75390625,19.607562465308494,0.0,0.0,73.036,1.6,0.0,1
5,0.0,0.0,23.08507000000077,743.8984375,19.61137273842269,0.0,0.0,69.14,10.4,0.0,1
5,26930.8,2637161.8,4.330939999999828,712.84765625,18.792781900996747,0.0,0.0,69.627,1546.0,0.0,1
6,7.0,7.0,52.16260416666595,829.53125,21.868908068407787,0.0,0.0,71.575,4957.0,0.0,1
5,0.0,0.0,57.69311500000072,833.30859375,21.968490071149127,0.0,0.0,72.549,193.8,0.0,1
5,0.0,0.0,55.696219999999805,833.09375,21.962826151655047,0.0,0.0,72.549,1.2,0.0,1
5,0.0,0.0,58.213644999999595,833.4140625,21.971270540718947,0.0,0.0,72.549,16.4,0.0,1
5,0.0,0.0,71.51488500000028,833.4375,21.971888422845574,0.0,0.0,72.549,1.2,0.0,1
5,0.0,0.0,54.5456999999999,833.7109375,21.979097047656218,0.0,0.0,73.036,14.0,0.0,1
5,0.0,0.0,65.4697299999998,835.171875,22.01761170021595,0.0,0.0,72.549,74.8,0.0,1
5,0.0,0.0,54.370675000000126,835.2265625,22.01905342517808,0.0,0.0,73.036,5.6,0.0,1
5,0.0,0.0,60.63532000000009,738.1171875,19.45896181385477,0.0,0.0,71.575,9.4,0.0,1
5,2612478.4,1336281.4,1.8197050000003399,716.37890625,18.885876141408502,0.0,0.0,70.114,2344.8,0.0,1
5,14876.4,1306235.0,50.8466999999996,771.90625,20.3497418797416,0.0,0.0,73.036,2859.0,0.0,1
5,0.0,0.0,61.11782500000004,771.9453125,20.350771683285977,0.0,0.0,74.497,5.6,0.0,1
6,0.0,0.0,52.3918875000002,772.12109375,20.35540579923568,0.0,0.0,70.601,11.666666666666666,0.0,1
5,0.0,0.0,0.08087499999987813,772.12109375,20.35540579923568,0.0,0.0,68.653,0.0,0.0,1
