Time_stamp(s),Net_transmit(B/s),Net_receive(B/s),CPU_usage(%),RAM_usage(MB),RAM_usage(%),Swap_usage(MB),Swap_usage(%),Ejecucion
5,8.4,22.4,0.14906500000000378,187.14453125,4.933599429910738,0.0,0.0,1
5,21424.0,2634075.6,24.992275,334.0234375,8.805695949647607,0.0,0.0,1
5,0.0,0.0,21.107690000000005,346.96484375,9.146863891188744,0.0,0.0,1
5,0.0,14.0,25.790305000000004,371.86328125,9.803249179260943,0.0,0.0,1
5,0.0,0.0,30.256945,389.3515625,10.264284154896218,0.0,0.0,1
5,0.0,0.0,16.45699500000001,394.59765625,10.402584349731638,0.0,0.0,1
5,0.0,0.0,34.48614499999998,438.46875,11.559136463057476,0.0,0.0,1
5,0.0,0.0,21.00912000000001,447.890625,11.807520729582443,0.0,0.0,1
5,0.0,0.0,24.428145000000008,465.3828125,12.268658683769344,0.0,0.0,1
5,0.0,0.0,24.84258999999998,554.96875,14.630368786789088,0.0,0.0,1
5,0.0,14.0,24.143454999999996,629.18359375,16.586858289155533,0.0,0.0,1
5,0.0,0.0,64.12583000000002,693.90234375,18.293006932516096,0.0,0.0,1
6,0.0,0.0,55.75975416666665,713.60546875,18.81243074692403,0.0,0.0,1
5,0.0,0.0,58.902750000000026,717.25,18.908509735592272,0.0,0.0,1
5,0.0,0.0,65.81018,726.77734375,19.159674423011175,0.0,0.0,1
5,0.0,0.0,44.86044,728.78515625,19.21260539854759,0.0,0.0,1
5,0.0,0.0,76.06943999999999,719.16015625,18.958866247338005,0.0,0.0,1
5,0.0,0.0,50.912964999999986,713.015625,18.796880985628313,0.0,0.0,1
5,0.0,0.0,68.09225999999995,729.99609375,19.244528749552043,0.0,0.0,1
5,0.0,0.0,63.81099500000005,751.0,19.79824442165186,0.0,0.0,1
5,0.0,0.0,63.09966000000002,732.078125,19.299416317569378,0.0,0.0,1
5,0.0,0.0,55.542384999999975,737.29296875,19.436892683991775,0.0,0.0,1
5,0.0,0.0,50.39189500000006,737.3125,19.437407576749916,0.0,0.0,1
5,0.0,14.0,58.903605000000006,732.30078125,19.305286095012132,0.0,0.0,1
5,0.0,0.0,57.86514999999994,745.2734375,19.647277864966284,0.0,0.0,1
5,0.0,0.0,73.34267999999994,745.2734375,19.647277864966284,0.0,0.0,1
6,2175747.5,2193264.6666666665,34.18773750000004,588.875,15.524222614913766,0.0,0.0,1
5,8.4,8.4,41.30832500000011,647.05078125,17.057882184298652,0.0,0.0,1
5,0.0,0.0,58.44953000000004,652.65625,17.205656405883783,0.0,0.0,1
5,46.6,35.0,52.878834999999924,636.24609375,16.773043510497633,0.0,0.0,1
5,14238.2,2617604.0,15.855919999999912,681.3828125,17.962960674550704,0.0,0.0,1
5,0.0,0.0,23.77348000000012,473.859375,12.492122140800515,0.0,0.0,1
5,0.0,0.0,23.166889999999967,475.6875,12.540316102962077,0.0,0.0,1
5,0.0,0.0,32.30275500000005,487.3359375,12.847398143914585,0.0,0.0,1
5,0.0,0.0,21.041244999999833,492.5390625,12.984565574682104,0.0,0.0,1
5,0.0,0.0,23.101975000000152,546.03125,14.394753860665901,0.0,0.0,1
5,0.0,0.0,31.259524999999826,534.5390625,14.09179096177848,0.0,0.0,1
5,0.0,0.0,16.969050000000152,539.7890625,14.230194135165528,0.0,0.0,1
5,0.0,0.0,29.054804999999817,632.25390625,16.66779943073457,0.0,0.0,1
6,0.0,0.0,19.063979166666677,654.25390625,17.247774633499336,0.0,0.0,1
5,0.0,0.0,62.557450000000195,759.16015625,20.013366616001218,0.0,0.0,1
5,0.0,0.0,55.34348999999992,767.71484375,20.238889644064933,0.0,0.0,1
5,0.0,0.0,69.27203999999989,774.16796875,20.40901021135318,0.0,0.0,1
5,0.0,0.0,63.88497999999998,775.2265625,20.436917398844166,0.0,0.0,1
5,0.0,0.0,100.0,776.4921875,20.470282449571403,0.0,0.0,1
5,0.0,0.0,66.22199999999992,780.28125,20.57017164464985,0.0,0.0,1
5,0.0,0.0,50.12764500000003,781.48046875,20.601786059999423,0.0,0.0,1
5,0.0,0.0,54.187445000000025,783.984375,20.667795311592503,0.0,0.0,1
5,0.0,0.0,77.35319500000003,786.95703125,20.74616198938085,0.0,0.0,1
5,0.0,0.0,59.76324000000005,787.96484375,20.772730455700685,0.0,0.0,1
5,0.0,14.0,61.3774699999999,788.09765625,20.77623172645601,0.0,0.0,1
5,0.0,0.0,57.02031000000005,788.47265625,20.78611766741223,0.0,0.0,1
6,0.0,0.0,50.36084999999986,788.59765625,20.789412981064302,0.0,0.0,1
5,0.0,0.0,59.60198500000018,793.08203125,20.907632358332407,0.0,0.0,1
5,0.0,0.0,45.097599999999716,786.33984375,20.729891378223744,0.0,0.0,1
5,2621843.2,2637992.4,43.10125000000028,788.7734375,20.794047015887532,0.0,0.0,1
5,8.4,8.4,68.59043999999983,788.52734375,20.787559367135014,0.0,0.0,1
5,41.4,35.0,29.65521000000024,727.62109375,19.181917790162665,0.0,0.0,1
5,20798.6,2629048.4,21.200579999999718,677.53515625,17.861526801197847,0.0,0.0,1
5,0.0,0.0,28.21444500000041,488.328125,12.873554696027911,0.0,0.0,1
5,0.0,0.0,17.05620999999951,488.61328125,12.881072130296703,0.0,0.0,1
5,0.0,0.0,30.359470000000215,493.99609375,13.022976574439078,0.0,0.0,1
5,0.0,0.0,24.327935000000025,497.40234375,13.112773871458053,0.0,0.0,1
5,0.0,0.0,22.056249999999977,528.42578125,13.93062952848181,0.0,0.0,1
5,0.0,0.0,26.46051,537.21484375,14.162331269643158,0.0,0.0,1
5,0.0,0.0,29.330689999999894,543.9375,14.339557356993685,0.0,0.0,1
6,0.0,0.0,21.803062500000202,640.53515625,16.886113960184375,0.0,0.0,1
5,0.0,0.0,25.26196499999969,720.98046875,19.00685425239631,0.0,0.0,1
5,0.0,0.0,70.59319000000016,760.44921875,20.04734953803822,0.0,0.0,1
5,0.0,0.0,63.71563999999979,778.5703125,20.525067039037108,0.0,0.0,1
5,0.0,0.0,50.984075000000075,782.56640625,20.630414097351803,0.0,0.0,1
5,0.0,0.0,71.36544000000015,782.8203125,20.637107703207576,0.0,0.0,1
5,0.0,0.0,61.90829000000008,783.94140625,20.6666625475246,0.0,0.0,1
5,0.0,0.0,54.29784999999981,783.9453125,20.66676552607623,0.0,0.0,1
5,0.0,0.0,54.08631500000013,784.24609375,20.674694874551527,0.0,0.0,1
5,0.0,0.0,72.00099500000022,784.87890625,20.691377399915144,0.0,0.0,1
5,0.0,0.0,59.56635500000005,779.98828125,20.562448253277807,0.0,0.0,1
5,0.0,0.0,64.91125499999953,790.234375,20.83256099419613,0.0,0.0,1
5,0.0,0.0,54.759140000000464,797.359375,21.020393872364266,0.0,0.0,1
6,0.0,0.0,49.50735416666656,798.35546875,21.046653403029218,0.0,0.0,1
5,0.0,0.0,62.9633849999999,798.35546875,21.046653403029218,0.0,0.0,1
5,0.0,0.0,52.93238999999972,798.359375,21.046756381580845,0.0,0.0,1
5,0.0,0.0,56.49930500000039,798.90625,21.06117337880866,0.0,0.0,1
5,2616772.8,2634930.4,65.33065499999964,814.33984375,21.468041636287992,0.0,0.0,1
5,8.4,8.4,48.72436500000049,814.4765625,21.47164588559495,0.0,0.0,1
5,0.0,0.0,57.95972999999947,814.70703125,21.477721620140958,0.0,0.0,1
5,14667.6,2616979.0,19.329705000000104,848.1484375,22.35932100062199,0.0,0.0,1
5,0.0,0.0,28.1341500000002,699.42578125,18.43861860451705,0.0,0.0,1
5,0.0,0.0,23.260945000000106,488.8984375,12.888589564565493,0.0,0.0,1
5,0.0,0.0,22.605575000000044,489.5390625,12.905478047032364,0.0,0.0,1
5,0.0,0.0,25.508319999999575,490.67578125,12.935444805555898,0.0,0.0,1
5,0.0,0.0,27.01667000000043,545.3046875,14.375599850063228,0.0,0.0,1
5,0.0,0.0,21.30196999999953,522.484375,13.773999151456733,0.0,0.0,1
6,0.0,0.0,26.549870833333483,530.05859375,13.973674563062005,0.0,0.0,1
5,0.0,0.0,23.66786999999988,620.6796875,16.362673982262972,0.0,0.0,1
5,0.0,0.0,22.33816500000046,640.25,16.878596525915583,0.0,0.0,1
5,0.0,0.0,55.1801549999999,746.5859375,19.681878658313046,0.0,0.0,1
5,0.0,0.0,45.97597500000006,774.16015625,20.408804254249922,0.0,0.0,1
5,0.0,0.0,80.04643499999986,774.8671875,20.427443372094462,0.0,0.0,1
5,0.0,0.0,58.012855000000066,782.8515625,20.637931531620595,0.0,0.0,1
5,0.0,0.0,55.692129999999906,783.35546875,20.651215764780513,0.0,0.0,1
5,0.0,0.0,56.57502500000021,788.5859375,20.789104045409424,0.0,0.0,1
5,0.0,0.0,75.59450999999967,788.60546875,20.78961893816756,0.0,0.0,1
5,0.0,0.0,59.10972500000013,794.25390625,20.938525923820585,0.0,0.0,1
5,0.0,0.0,39.13902000000007,794.30859375,20.939967623543367,0.0,0.0,1
5,0.0,0.0,48.769719999999666,796.46875,20.996914762593246,0.0,0.0,1
6,0.0,0.0,43.446375000000145,796.47265625,20.997017741144873,0.0,0.0,1
5,0.0,14.0,67.48111999999992,798.21875,21.04304915372226,0.0,0.0,1
5,0.0,0.0,72.4299400000001,798.22265625,21.04315213227389,0.0,0.0,1
5,0.0,0.0,51.562905000000114,798.2265625,21.043255110825516,0.0,0.0,1
5,0.0,0.0,68.42514999999935,798.328125,21.045932553167827,0.0,0.0,1
5,2619162.0,2638547.2,100.0,807.546875,21.288961935008178,0.0,0.0,1
5,16.8,16.8,69.03941499999974,807.81640625,21.296067455070457,0.0,0.0,1
5,46.6,35.0,38.90707500000076,751.203125,19.803599306336476,0.0,0.0,1
5,0.0,0.0,0.14644999999973152,751.11328125,19.80123079964905,0.0,0.0,1
5,23161.4,2630460.8,3.5009500000001026,779.9375,20.561109532106652,0.0,0.0,1
5,0.0,0.0,25.558454999999185,686.66796875,18.102290654902397,0.0,0.0,1
5,0.0,0.0,28.329970000000916,700.16015625,18.457978572222977,0.0,0.0,1
5,0.0,0.0,25.141779999999013,561.9765625,14.815112308408404,0.0,0.0,1
5,0.0,0.0,23.901460000000725,509.76171875,13.438598008806727,0.0,0.0,1
6,0.0,0.0,22.333670833333485,555.14453125,14.635002821612314,0.0,0.0,1
5,0.0,0.0,25.176989999999932,533.90625,14.075108436414862,0.0,0.0,1
5,0.0,0.0,24.001899999999523,538.4453125,14.194769513405747,0.0,0.0,1
5,0.0,0.0,24.66272500000059,602.375,15.8801164893376,0.0,0.0,1
5,0.0,0.0,27.961444999999685,645.875,17.026885640258847,0.0,0.0,1
5,0.0,0.0,41.91686000000004,742.1640625,19.56530693787098,0.0,0.0,1
5,0.0,0.0,57.37322500000005,773.03515625,20.379146431381272,0.0,0.0,1
5,0.0,0.0,67.23932499999933,792.69140625,20.897334503169677,0.0,0.0,1
5,0.0,0.0,43.32228500000042,793.6015625,20.92132850569883,0.0,0.0,1
