Time_stamp(s),Net_transmit(B/s),Net_receive(B/s),CPU_usage(%),RAM_usage(MB),RAM_usage(%),Swap_usage(MB),Swap_usage(%),Ejecucion
5,8.4,22.4,0.12356500000000105,188.14453125,4.959961939127319,0.0,0.0,1
5,15629.6,2630983.6,14.386225000000003,375.69140625,9.904168159855665,0.0,0.0,1
5,0.0,0.0,21.534360000000003,352.9765625,9.305347882143106,0.0,0.0,1
5,0.0,14.0,28.188684999999992,377.87890625,9.961836148766935,0.0,0.0,1
5,0.0,0.0,24.060445,397.046875,10.467151901601934,0.0,0.0,1
5,0.0,0.0,27.532130000000006,407.7890625,10.75034291857692,0.0,0.0,1
5,0.0,0.0,22.729575000000004,454.0703125,11.970432798256779,0.0,0.0,1
5,0.0,0.0,25.36404000000001,456.875,12.044371398325158,0.0,0.0,1
5,0.0,0.0,25.30859999999997,467.6328125,12.32797432950665,0.0,0.0,1
5,0.0,14.0,28.152955000000013,558.38671875,14.720475019462947,0.0,0.0,1
5,0.0,0.0,24.297685000000016,583.13671875,15.372947122573311,0.0,0.0,1
5,0.0,0.0,65.421355,715.4140625,18.860109816327455,0.0,0.0,1
5,0.0,0.0,49.22725,735.91015625,19.400438276715725,0.0,0.0,1
5,0.0,0.0,65.33695999999999,728.875,19.214973905235016,0.0,0.0,1
6,0.0,0.0,49.2563333333333,747.03125,19.693618213198555,0.0,0.0,1
5,0.0,0.0,62.710275000000024,732.265625,19.304359288047486,0.0,0.0,1
5,0.0,0.0,48.714160000000035,734.12109375,19.353274100070436,0.0,0.0,1
5,0.0,0.0,64.18578499999995,735.63671875,19.393229778101816,0.0,0.0,1
5,0.0,0.0,61.38864499999996,738.05859375,19.45707648011072,0.0,0.0,1
5,0.0,0.0,60.12402500000007,742.55859375,19.575707771585336,0.0,0.0,1
5,0.0,0.0,61.25711499999994,733.80078125,19.344829858837002,0.0,0.0,1
5,0.0,0.0,60.66564999999997,740.92578125,19.532662737005136,0.0,0.0,1
5,0.0,14.0,48.0481850000001,752.171875,19.82913798714004,0.0,0.0,1
5,0.0,0.0,59.79309000000001,729.17578125,19.222903253710317,0.0,0.0,1
5,0.0,0.0,77.56453999999991,734.6171875,19.3663523761271,0.0,0.0,1
5,0.0,0.0,57.377595000000106,734.5625,19.364910676404318,0.0,0.0,1
5,0.0,0.0,54.20074999999998,726.53125,19.153186774258657,0.0,0.0,1
5,0.0,0.0,49.68944499999992,753.62890625,19.86754898689701,0.0,0.0,1
5,0.0,0.0,71.20927999999992,729.97265625,19.24391087824228,0.0,0.0,1
6,0.0,0.0,46.836349999999996,732.03125,19.29818057494985,0.0,0.0,1
5,0.0,0.0,71.02420500000022,738.4140625,19.4664475283088,0.0,0.0,1
5,0.0,0.0,59.413774999999866,752.53515625,19.838714992441375,0.0,0.0,1
5,0.0,0.0,53.45432500000016,762.38671875,20.098426899645343,0.0,0.0,1
5,0.0,0.0,55.89353999999987,762.64453125,20.105223484052743,0.0,0.0,1
5,0.0,0.0,57.23263500000002,750.15625,19.77600105450037,0.0,0.0,1
5,0.0,0.0,100.0,752.8984375,19.84829199774271,0.0,0.0,1
5,0.0,0.0,58.577319999999986,760.13671875,20.039111253908036,0.0,0.0,1
5,0.0,0.0,58.091315000000066,761.40625,20.072579283186897,0.0,0.0,1
5,0.0,0.0,58.1958800000001,749.03125,19.746343231631716,0.0,0.0,1
5,0.0,0.0,55.044434999999794,711.11328125,18.746730430985835,0.0,0.0,1
5,0.0,0.0,51.25129000000015,739.6015625,19.497753008003492,0.0,0.0,1
5,2597588.0,3653.8,2.45176999999984,695.45703125,18.33399239606375,0.0,0.0,1
6,11337.5,2181498.3333333335,21.92221250000017,611.76171875,16.127573948897926,0.0,0.0,1
5,0.0,0.0,64.48567499999996,644.48046875,16.99012229732791,0.0,0.0,1
5,0.0,0.0,59.3160899999998,645.04296875,17.00495120876224,0.0,0.0,1
5,0.0,0.0,21.75750000000022,646.62890625,17.04676050072291,0.0,0.0,1
5,18210.4,2630529.6,1.1401349999999866,662.3984375,17.462484913642186,0.0,0.0,1
5,0.0,0.0,23.16655499999996,598.515625,15.77837368032986,0.0,0.0,1
5,0.0,0.0,23.87200500000006,493.4140625,13.007632770246612,0.0,0.0,1
