Time_stamp(s),Net_transmit(B/s),Net_receive(B/s),CPU_usage(%),RAM_usage(MB),RAM_usage(%),Swap_usage(MB),Swap_usage(%),Ejecucion
5,20931.0,2634467.0,5.095589999999994,253.35546875,6.679085879992915,0.0,0.0,1
5,0.0,0.0,23.715875000000004,334.6640625,8.822584432114478,0.0,0.0,1
5,0.0,0.0,22.427720000000004,350.4609375,9.239029694895146,0.0,0.0,1
5,0.0,14.0,29.683764999999994,379.20703125,9.996848856320206,0.0,0.0,1
5,0.0,0.0,23.822764999999997,388.95703125,10.253883321181863,0.0,0.0,1
5,0.0,0.0,28.557475,440.453125,11.611449567284126,0.0,0.0,1
5,0.0,0.0,19.606984999999995,436.82421875,11.515782492822394,0.0,0.0,1
5,0.0,0.0,30.483490000000018,450.02734375,11.863849997322557,0.0,0.0,1
5,0.0,0.0,22.84635999999999,516.8125,13.624474294493943,0.0,0.0,1
5,0.0,14.0,27.395834999999984,568.0625,14.975552891843687,0.0,0.0,1
5,0.0,0.0,36.263020000000026,687.5625,18.12587274322504,0.0,0.0,1
5,0.0,0.0,71.07528499999998,723.1171875,19.063183520136427,0.0,0.0,1
5,0.0,0.0,58.86625500000001,718.39453125,18.938682451219062,0.0,0.0,1
6,0.0,0.0,50.91280833333336,730.0703125,19.246485342032962,0.0,0.0,1
5,0.0,0.0,43.69262499999998,710.7734375,18.737771296994264,0.0,0.0,1
5,0.0,0.0,70.45580000000001,717.95703125,18.927148853436808,0.0,0.0,1
5,0.0,0.0,57.70180499999995,703.75,18.552615861168437,0.0,0.0,1
5,0.0,0.0,54.64339500000008,723.8828125,19.08336731625537,0.0,0.0,1
5,0.0,0.0,49.82066500000002,731.07421875,19.272950829801168,0.0,0.0,1
5,0.0,0.0,52.43278499999988,735.31640625,19.38478553686838,0.0,0.0,1
5,0.0,14.0,56.69745000000006,736.98046875,19.428654399861596,0.0,0.0,1
5,0.0,0.0,66.69427499999998,741.08984375,19.53698783617348,0.0,0.0,1
5,0.0,0.0,66.87441000000007,737.203125,19.43452417730435,0.0,0.0,1
5,0.0,0.0,50.84462999999999,721.44921875,19.01921167859158,0.0,0.0,1
5,0.0,0.0,70.411505,743.6875,19.605468573005613,0.0,0.0,1
5,0.0,0.0,46.39034999999993,723.140625,19.06380139144619,0.0,0.0,1
5,2619025.2,2638451.6,39.647925000000015,758.5078125,19.996169197879464,0.0,0.0,1
6,7.0,7.0,25.662708333333367,607.953125,16.02716986106134,0.0,0.0,1
5,0.0,0.0,66.28222000000008,623.65234375,16.441040660051325,0.0,0.0,1
5,46.6,35.0,52.58551999999981,587.5234375,15.48859203605073,0.0,0.0,1
5,13868.6,2617780.8,14.253084999999999,708.203125,18.67001141002352,0.0,0.0,1
