Time_stamp(s),Net_transmit(B/s),Net_receive(B/s),CPU_usage(%),RAM_usage(MB),RAM_usage(%),Swap_usage(MB),Swap_usage(%),Temp(ºC),Mem_faults,Mem_majfaults,Ejecucion
5,8.4,22.4,0.16146999999999245,219.65625,5.790689915104482,0.0,0.0,64.27,0.2,0.0,1
5,21450.8,2632612.4,18.995440000000006,377.1328125,9.942167245406127,0.0,0.0,65.731,10509.4,0.0,1
5,0.0,0.0,25.207179999999994,380.12109375,10.020945837400987,0.0,0.0,66.218,2298.4,0.0,1
5,0.0,14.0,21.910825000000003,395.4921875,10.426166438054283,0.0,0.0,65.731,3314.8,0.0,1
5,0.0,0.0,29.820504999999997,414.2578125,10.920875400071674,0.0,0.0,66.218,3789.2,0.0,1
5,0.0,0.0,19.340750000000018,421.52734375,11.112518484650018,0.0,0.0,64.757,1429.8,0.0,1
5,0.0,0.0,29.450509999999998,467.73046875,12.330548793297332,0.0,0.0,65.731,3729.0,0.0,1
5,0.0,0.0,20.547565,466.98046875,12.310776911384897,0.0,0.0,64.757,1103.0,0.0,1
5,0.0,0.0,31.73470500000001,478.02734375,12.602000255386809,0.0,0.0,65.731,2139.2,0.0,1
5,0.0,0.0,18.425244999999997,563.3828125,14.852184586994222,0.0,0.0,66.705,4363.0,0.0,1
5,0.0,0.0,27.749719999999982,587.8359375,15.496830320180912,0.0,0.0,66.218,1253.0,0.0,1
5,0.0,14.0,51.698895000000036,717.06640625,18.903669743665787,0.0,0.0,67.679,6609.4,0.0,1
5,0.0,0.0,63.34176499999998,722.94140625,19.058549485313197,0.0,0.0,66.705,296.4,0.0,1
6,0.0,0.0,51.312816666666684,733.1328125,19.32722052650874,0.0,0.0,67.192,438.6666666666667,0.0,1
5,0.0,0.0,61.503515,735.99609375,19.402703804851527,0.0,0.0,67.679,147.4,0.0,1
5,0.0,0.0,57.82919499999999,722.26953125,19.04083717443331,0.0,0.0,67.679,483.4,0.0,1
5,0.0,0.0,60.82499500000005,736.11328125,19.405793161400346,0.0,0.0,68.653,708.8,0.0,1
5,0.0,0.0,100.0,732.57421875,19.312494593626038,0.0,0.0,68.653,862.2,0.0,1
5,0.0,0.0,42.2166,654.44140625,17.252717603977445,0.0,0.0,68.166,2245.4,0.0,1
5,0.0,0.0,30.37078000000008,661.28515625,17.433136026428418,0.0,0.0,67.679,419.2,0.0,1
5,0.0,0.0,40.90212499999993,661.50390625,17.438902825319545,0.0,0.0,69.14,29.0,0.0,1
5,2606243.0,1278045.8,6.040660000000031,658.8671875,17.369392302971136,0.0,0.0,66.218,7190.2,0.0,1
6,10219.333333333334,1130901.0,36.07347916666666,722.51171875,19.047221844634198,0.0,0.0,67.679,2744.5,0.0,1
5,0.0,0.0,58.798905000000026,722.53125,19.047736737392338,0.0,0.0,70.114,13.6,0.0,1
5,0.0,14.0,75.43545999999992,724.76953125,19.106743447474763,0.0,0.0,69.14,114.2,0.0,1
5,0.0,0.0,61.36125000000007,725.1171875,19.115908538569588,0.0,0.0,70.601,8.6,0.0,1
5,0.0,0.0,64.766805,725.61328125,19.128986814626252,0.0,0.0,70.601,19.2,0.0,1
5,0.0,0.0,20.332379999999972,628.84375,16.577899155163962,0.0,0.0,67.679,792.8,0.0,1
5,0.0,0.0,0.12579000000002338,628.84375,16.577899155163962,0.0,0.0,67.192,0.0,0.0,1
5,19121.6,2628514.4,30.677689999999984,760.16796875,20.039935082321055,0.0,0.0,68.166,9080.0,0.0,1
5,8.4,8.4,70.5458250000001,765.55859375,20.182045483566682,0.0,0.0,69.14,271.0,0.0,1
5,0.0,0.0,61.36350999999991,765.8046875,20.1885331323192,0.0,0.0,69.14,25.2,0.0,1
5,0.0,0.0,64.54212500000011,772.2578125,20.358653699607444,0.0,0.0,69.627,330.2,0.0,1
6,0.0,0.0,51.199241666666495,773.81640625,20.399742141706724,0.0,0.0,69.627,66.5,0.0,1
5,0.0,0.0,61.637405000000165,775.328125,20.43959484118648,0.0,0.0,69.627,77.4,0.0,1
5,0.0,0.0,55.90350000000001,778.31640625,20.518373433181335,0.0,0.0,70.114,152.8,0.0,1
5,0.0,0.0,62.446324999999945,778.33984375,20.5189913044911,0.0,0.0,69.627,1.2,0.0,1
5,0.0,0.0,51.99491499999993,778.47265625,20.522492575246428,0.0,0.0,70.601,9.4,0.0,1
5,0.0,0.0,69.39539499999995,778.62890625,20.526611717311518,0.0,0.0,70.601,10.4,0.0,1
5,2621431.8,2633062.2,25.864344999999954,779.41015625,20.54720742763697,0.0,0.0,69.14,7577.6,0.0,1
5,8.4,8.4,73.18212000000017,779.73828125,20.555857625973662,0.0,0.0,70.114,17.0,0.0,1
5,0.0,0.0,57.40683499999989,780.44921875,20.574599722369825,0.0,0.0,69.627,12.4,0.0,1
5,0.0,0.0,5.141959999999983,779.89453125,20.559976768038755,0.0,0.0,67.679,0.4,0.0,1
6,0.0,0.0,7.21259166666665,780.015625,20.5631691031392,0.0,0.0,66.705,3.3333333333333335,0.0,1
5,0.0,0.0,77.26159500000023,780.046875,20.563992931552217,0.0,0.0,69.627,1.6,0.0,1
5,0.0,0.0,42.60485499999987,780.05859375,20.5643018672071,0.0,0.0,70.114,0.6,0.0,1
5,25352.0,2632580.0,62.358105000000144,817.92578125,21.562575946681825,0.0,0.0,70.114,5518.0,0.0,1
5,8.4,8.4,54.422404999999976,826.15234375,21.77944877640885,0.0,0.0,70.114,409.0,0.0,1
5,0.0,0.0,58.49503499999997,826.16796875,21.779860690615358,0.0,0.0,69.627,0.8,0.0,1
5,0.0,0.0,62.40937000000002,825.9375,21.77378495606935,0.0,0.0,70.114,0.8,0.0,1
5,0.0,0.0,51.440769999999816,825.94921875,21.77409389172423,0.0,0.0,69.627,0.6,0.0,1
5,0.0,0.0,66.05020999999994,825.96484375,21.77450580593074,0.0,0.0,70.114,0.8,0.0,1
5,0.0,14.0,59.493000000000215,826.22265625,21.78130239033814,0.0,0.0,70.601,0.8,0.0,1
6,0.0,0.0,60.7859958333331,826.23828125,21.78171430454465,0.0,0.0,70.601,0.5,0.0,1
5,0.0,0.0,45.24976000000038,826.04296875,21.776565376963287,0.0,0.0,70.601,5.0,0.0,1
5,0.0,0.0,74.46759999999983,826.15625,21.779551754960476,0.0,0.0,71.088,8.2,0.0,1
5,2622903.2,2635029.4,44.957370000000196,789.1171875,20.80310912843073,0.0,0.0,70.601,5588.0,0.0,1
5,8.4,8.4,69.01166499999988,789.22265625,20.805889549324665,0.0,0.0,70.601,5.4,0.0,1
5,0.0,0.0,61.73557000000016,789.515625,20.813612940696714,0.0,0.0,71.088,10.2,0.0,1
5,0.0,0.0,63.663349999999916,789.63671875,20.816805275797158,0.0,0.0,72.549,1.2,0.0,1
5,0.0,0.0,50.054455000000075,789.53125,20.81402485490322,0.0,0.0,71.575,7.0,0.0,1
5,24652.4,2632685.6,57.907179999999705,830.0,21.880882649761705,0.0,0.0,69.627,5531.8,0.0,1
5,0.0,0.0,56.11927499999979,830.0,21.880882649761705,0.0,0.0,70.114,0.0,0.0,1
5,0.0,0.0,59.26985500000001,830.01171875,21.88119158541659,0.0,0.0,71.088,0.4,0.0,1
6,0.0,0.0,60.0320750000004,833.68359375,21.977991423946218,0.0,0.0,71.088,146.0,0.0,1
5,0.0,0.0,60.35605499999974,824.625,21.739184162722587,0.0,0.0,70.114,980.0,0.0,1
5,0.0,0.0,62.220120000000065,825.65234375,21.766267521800557,0.0,0.0,71.088,52.4,0.0,1
5,0.0,0.0,53.569944999999855,830.0234375,21.88150052107147,0.0,0.0,70.601,236.4,0.0,1
5,0.0,0.0,100.0,831.375,21.917131099934505,0.0,0.0,71.575,60.0,0.0,1
5,0.0,0.0,42.735139999999774,831.2265625,21.91321791497267,0.0,0.0,70.601,6.4,0.0,1
5,2621636.0,2633471.8,43.582044999999994,792.1796875,20.883844312906508,0.0,0.0,70.114,5482.4,0.0,1
5,8.4,8.4,55.137660000000324,792.2578125,20.885903883939054,0.0,0.0,71.088,4.0,0.0,1
5,0.0,0.0,67.35338499999955,792.375,20.88899324048787,0.0,0.0,70.601,6.0,0.0,1
6,0.0,0.0,11.376341666666672,792.31640625,20.88744856221346,0.0,0.0,69.14,1.3333333333333333,0.0,1
5,0.0,0.0,6.6944599999999355,792.43359375,20.89053791876228,0.0,0.0,67.192,3.8,0.0,1
5,0.0,0.0,69.4994250000002,792.69921875,20.897540460272936,0.0,0.0,70.114,1.2,0.0,1
5,0.0,0.0,47.058905000000095,793.0,20.905469808748233,0.0,0.0,70.601,15.2,0.0,1
5,0.0,0.0,28.75268000000005,792.953125,20.90423406612871,0.0,0.0,69.14,14.8,0.0,1
5,0.0,0.0,0.8769549999999525,792.8515625,20.901556623786398,0.0,0.0,66.705,0.0,0.0,1
5,25734.8,2632527.2,43.290569999999775,832.28515625,21.94112510246366,0.0,0.0,68.653,5471.8,0.0,1
5,8.4,8.4,75.43075000000044,832.29296875,21.941331059566913,0.0,0.0,69.14,0.4,0.0,1
5,0.0,0.0,46.9466749999998,832.29296875,21.941331059566913,0.0,0.0,70.114,0.0,0.0,1
5,0.0,0.0,63.31568500000003,832.54296875,21.94792168687106,0.0,0.0,69.14,0.2,0.0,1
5,0.0,0.0,58.74972500000013,832.30859375,21.941742973773422,0.0,0.0,69.14,0.6,0.0,1
6,0.0,0.0,49.6080166666663,832.31640625,21.941948930876677,0.0,0.0,70.114,0.3333333333333333,0.0,1
5,0.0,0.0,57.21643000000029,832.32421875,21.94215488797993,0.0,0.0,68.653,0.4,0.0,1
5,0.0,0.0,60.74235499999986,832.33203125,21.942360845083186,0.0,0.0,69.627,0.4,0.0,1
5,0.0,0.0,62.936784999999986,832.41796875,21.944626373218988,0.0,0.0,71.088,6.8,0.0,1
5,0.0,0.0,57.462224999999876,636.08984375,16.768924368432543,0.0,0.0,72.062,1249.2,0.0,1
5,2620052.0,2635333.0,45.21511500000031,773.703125,20.396755763709535,0.0,0.0,71.088,9932.6,0.0,1
5,8.4,8.4,68.66498499999977,774.4375,20.41611573141546,0.0,0.0,71.575,37.6,0.0,1
5,0.0,0.0,77.57818500000042,774.9921875,20.430738685746533,0.0,0.0,71.575,31.0,0.0,1
5,0.0,0.0,60.10830999999997,775.01953125,20.431459535607924,0.0,0.0,72.062,1.4,0.0,1
5,60.2,21.8,46.13506499999971,706.76171875,18.63201232447306,0.0,0.0,73.036,17.0,0.0,1
5,0.0,13.2,0.14601000000027398,706.51171875,18.625421697168914,0.0,0.0,68.166,0.0,0.0,1
6,18150.5,2191862.5,17.055779166666696,827.26953125,21.808900642174248,0.0,0.0,66.705,5124.333333333333,0.0,1
5,0.0,0.0,57.25014499999986,828.46875,21.840515057523817,0.0,0.0,70.114,77.6,0.0,1
5,0.0,0.0,49.58306499999992,831.3515625,21.916513228624744,0.0,0.0,68.653,135.2,0.0,1
5,0.0,0.0,70.9153550000002,831.47265625,21.919705563725188,0.0,0.0,70.601,18.6,0.0,1
5,0.0,0.0,63.451144999999656,831.56640625,21.922177048964244,0.0,0.0,69.14,4.8,0.0,1
5,0.0,0.0,57.917204999999974,831.8203125,21.928870654820017,0.0,0.0,70.114,13.2,0.0,1
5,0.0,0.0,56.249050000000125,831.828125,21.929076611923268,0.0,0.0,70.601,0.4,0.0,1
5,0.0,0.0,56.82772000000001,831.85546875,21.92979746178466,0.0,0.0,69.627,1.4,0.0,1
5,0.0,0.0,49.103020000000015,832.1484375,21.937520853156705,0.0,0.0,71.575,4.6,0.0,1
5,0.0,0.0,64.60887999999954,832.4140625,21.94452339466736,0.0,0.0,71.575,16.4,0.0,1
5,2622995.6,2635240.6,43.636355000001004,794.14453125,20.935642524375023,0.0,0.0,69.14,5537.8,0.0,1
5,8.4,8.4,44.57704999999919,794.2109375,20.937393159752688,0.0,0.0,71.088,3.4,0.0,1
6,0.0,11.666666666666666,50.938516666666565,794.5625,20.94666122939914,0.0,0.0,72.062,4.666666666666667,0.0,1
5,0.0,0.0,22.386599999999817,794.2734375,20.93904081657872,0.0,0.0,69.627,2.6,0.0,1
5,0.0,0.0,0.706915000000663,794.18359375,20.936672309891296,0.0,0.0,68.653,1.2,0.0,1
5,0.0,0.0,56.73617000000035,794.42578125,20.943056980092187,0.0,0.0,70.601,4.0,0.0,1
5,0.0,0.0,62.59770499999945,794.57421875,20.946970165054022,0.0,0.0,70.114,7.6,0.0,1
5,26381.6,2632382.0,63.09725500000013,834.19140625,21.991378635657767,0.0,0.0,70.114,5488.4,0.0,1
5,0.0,0.0,58.86394999999993,834.19921875,21.991584592761022,0.0,0.0,69.627,0.4,0.0,1
5,0.0,0.0,51.8576250000001,834.2265625,21.992305442622413,0.0,0.0,71.088,1.4,0.0,1
5,0.0,0.0,68.67159000000015,842.56640625,22.212164650346626,0.0,0.0,69.14,414.4,0.0,1
5,0.0,0.0,51.66105499999958,842.33203125,22.20598593724899,0.0,0.0,71.088,0.6,0.0,1
5,0.0,0.0,65.33603500000027,842.35546875,22.206603808558754,0.0,0.0,71.088,1.0,0.0,1
5,0.0,0.0,58.11027999999965,842.36328125,22.20680976566201,0.0,0.0,71.088,0.4,0.0,1
6,0.0,0.0,50.845074999999916,842.62890625,22.213812307172663,0.0,0.0,70.601,0.8333333333333334,0.0,1
5,0.0,0.0,61.41469000000029,842.69921875,22.215665921101955,0.0,0.0,72.062,7.2,0.0,1
5,0.0,0.0,53.297210000000625,764.40625,20.151666810836637,0.0,0.0,72.062,18.0,0.0,1
5,2597426.6,3525.0,3.578249999999343,740.9765625,19.53400145817629,0.0,0.0,69.14,2286.2,0.0,1
5,21063.0,2628938.8,100.0,775.23828125,20.43722633449905,0.0,0.0,71.088,3475.0,0.0,1
5,0.0,0.0,74.22465500000044,775.859375,20.453599924207786,0.0,0.0,71.575,9.0,0.0,1
5,0.0,0.0,54.63179499999911,775.3828125,20.44103654090926,0.0,0.0,71.088,0.8,0.0,1
5,0.0,0.0,58.32716000000004,775.69140625,20.44917184648781,0.0,0.0,72.062,15.6,0.0,1
5,60.2,35.0,2.657365000000027,707.76171875,18.65837483368964,0.0,0.0,68.653,0.0,0.0,1
5,23760.6,2630406.6,14.896160000000691,815.0625,21.487092668339038,0.0,0.0,67.192,5475.8,0.0,1
6,0.0,0.0,46.59391666666674,825.51953125,21.76276625104523,0.0,0.0,70.601,446.6666666666667,0.0,1
5,0.0,0.0,61.60067499999968,840.45703125,22.156556232467903,0.0,0.0,71.575,765.4,0.0,1
5,0.0,0.0,59.109154999999866,833.81640625,21.981492694701547,0.0,0.0,71.088,1210.4,0.0,1
5,0.0,0.0,56.08035500000028,833.58203125,21.97531398160391,0.0,0.0,71.088,0.4,0.0,1
5,0.0,0.0,56.91939999999931,811.0234375,21.380612845956446,0.0,0.0,70.601,275.2,0.0,1
5,0.0,0.0,58.46484500000088,818.015625,21.564944453369254,0.0,0.0,71.088,1912.2,0.0,1
5,0.0,0.0,65.33518500000014,830.41796875,21.891901354785826,0.0,0.0,70.601,648.8,0.0,1
5,0.0,0.0,52.4765549999995,832.1796875,21.93834468156972,0.0,0.0,71.575,103.6,0.0,1
5,0.0,0.0,56.431675000000034,832.3828125,21.94369956625434,0.0,0.0,71.088,12.2,0.0,1
5,2619603.2,2631293.8,45.71369000000004,793.23828125,20.911751500397497,0.0,0.0,70.114,5479.8,0.0,1
6,7.0,7.0,50.83959583333334,793.2265625,20.911442564742615,0.0,0.0,72.062,3.8333333333333335,0.0,1
5,0.0,0.0,64.4365049999999,793.58203125,20.920813612940698,0.0,0.0,72.062,5.6,0.0,1
5,0.0,0.0,65.72858999999994,793.41796875,20.916488513772354,0.0,0.0,71.088,6.8,0.0,1
5,0.0,0.0,53.39472999999998,793.6796875,20.923388076731378,0.0,0.0,72.062,1.2,0.0,1
5,60.2,35.0,47.959240000000136,725.6640625,19.130325535797404,0.0,0.0,72.062,8.4,0.0,1
