Time_stamp(s),Net_transmit(B/s),Net_receive(B/s),CPU_usage(%),RAM_usage(MB),RAM_usage(%),Swap_usage(MB),Swap_usage(%),Temp(ºC),Mem_faults,Mem_majfaults,Ejecucion
5,8.4,22.4,0.11269500000000043,205.06640625,5.406159666920342,0.0,0.0,65.731,0.6,0.0,1
5,22559.2,2639242.0,8.85726,378.29296875,9.972926464818306,0.0,0.0,67.192,10261.6,0.0,1
5,0.0,14.0,30.038290000000007,378.71875,9.984151323452025,0.0,0.0,69.14,3220.6,0.0,1
5,0.0,0.0,26.890245,400.21875,10.550955194277588,0.0,0.0,67.192,4551.0,0.0,1
5,0.0,0.0,25.24557999999999,415.80078125,10.961743828129908,0.0,0.0,67.192,3084.8,0.0,1
5,0.0,0.0,24.890584999999987,445.44921875,11.743364718312687,0.0,0.0,67.679,2520.6,0.0,1
5,0.0,0.0,48.79594000000001,472.35546875,12.452693399680143,0.0,0.0,67.192,4546.2,0.0,1
5,0.0,0.0,22.954275000000024,536.0703125,14.132405960914838,0.0,0.0,66.218,3985.2,0.0,1
5,0.0,14.0,27.974144999999982,587.55078125,15.48958405205039,0.0,0.0,68.166,2632.4,0.0,1
5,0.0,0.0,50.89853000000002,716.2265625,18.88185990758543,0.0,0.0,69.14,6570.4,0.0,1
6,0.0,0.0,46.56237916666663,720.62109375,18.99771280632794,0.0,0.0,70.601,189.83333333333334,0.0,1
5,0.0,0.0,66.44219500000005,728.1484375,19.196155949329547,0.0,0.0,69.627,397.4,0.0,1
5,0.0,0.0,56.16799499999999,728.55859375,19.206968886545514,0.0,0.0,70.601,11.2,0.0,1
5,0.0,0.0,67.33851999999999,736.48046875,19.415813045345338,0.0,0.0,69.627,415.0,0.0,1
5,0.0,0.0,66.062315,734.5625,19.36524969131639,0.0,0.0,70.601,1355.8,0.0,1
5,0.0,0.0,56.15380999999993,734.453125,19.362366241392127,0.0,0.0,70.114,0.4,0.0,1
5,0.0,0.0,44.43999000000005,644.28125,16.985167739550324,0.0,0.0,70.114,2262.4,0.0,1
5,0.0,0.0,39.54233500000001,661.24609375,17.432411418873624,0.0,0.0,70.114,935.8,0.0,1
5,2600033.8,5282.2,44.541930000000036,636.04296875,16.76798217204104,0.0,0.0,70.114,6689.4,0.0,1
5,16.8,16.8,0.13024999999998954,635.94140625,16.765304682825658,0.0,0.0,67.192,0.0,0.0,1
5,0.0,14.0,0.1293450000000007,635.94140625,16.765304682825658,0.0,0.0,66.218,0.0,0.0,1
5,22475.0,2637635.8,30.898399999999953,708.40625,18.67569323800099,0.0,0.0,65.731,4565.4,0.0,1
6,0.0,0.0,44.60187083333338,708.921875,18.689286644786772,0.0,0.0,70.601,22.0,0.0,1
5,0.0,0.0,66.0949699999999,709.3359375,18.70020256235718,0.0,0.0,70.601,21.2,0.0,1
5,0.0,0.0,25.16792500000008,693.31640625,18.277880128807826,0.0,0.0,70.114,11.8,0.0,1
