Time_stamp(s),Net_transmit(B/s),Net_receive(B/s),CPU_usage(%),RAM_usage(MB),RAM_usage(%),Swap_usage(MB),Swap_usage(%),Ejecucion
5,8.4,22.4,0.11622500000000534,186.38671875,4.9136215908950485,0.0,0.0,1
5,15581.4,2624451.0,21.222655000000003,351.21484375,9.25890455535921,0.0,0.0,1
5,0.0,0.0,28.129745,349.82421875,9.222244190979904,0.0,0.0,1
5,0.0,14.0,20.659484999999993,369.96484375,9.753201603170092,0.0,0.0,1
5,0.0,0.0,28.149410000000007,387.43359375,10.213721686047231,0.0,0.0,1
5,0.0,0.0,23.485245,417.7421875,11.012732268123196,0.0,0.0,1
5,0.0,0.0,21.463409999999996,433.37109375,11.42474945318389,0.0,0.0,1
5,0.0,0.0,27.930725000000013,446.421875,11.768800794170591,0.0,0.0,1
5,0.0,0.0,25.509759999999986,454.82421875,11.990307658720841,0.0,0.0,1
5,0.0,0.0,28.50109499999999,568.9296875,14.99841413030494,0.0,0.0,1
5,0.0,14.0,29.334470000000014,654.18359375,17.245921019570044,0.0,0.0,1
6,0.0,0.0,55.7300916666667,712.0625,18.771754219031262,0.0,0.0,1
5,0.0,0.0,47.03424999999996,723.33203125,19.068847340475926,0.0,0.0,1
5,0.0,0.0,76.07806500000002,727.97265625,19.191185859809117,0.0,0.0,1
5,0.0,0.0,44.18769499999996,728.234375,19.198085422768145,0.0,0.0,1
5,0.0,0.0,70.92075000000001,730.5078125,19.258018939815216,0.0,0.0,1
5,0.0,0.0,66.62105999999994,741.3984375,19.545123141752036,0.0,0.0,1
5,0.0,0.0,45.17763000000002,741.3984375,19.545123141752036,0.0,0.0,1
5,0.0,0.0,75.3961600000001,744.35546875,19.623077905333876,0.0,0.0,1
5,0.0,0.0,57.91774499999989,744.74609375,19.633375760496605,0.0,0.0,1
5,0.0,0.0,61.37879500000011,744.87890625,19.63687703125193,0.0,0.0,1
5,0.0,0.0,57.48346499999997,750.39453125,19.782282746149633,0.0,0.0,1
5,0.0,14.0,61.87444,751.01171875,19.79855335730674,0.0,0.0,1
5,0.0,0.0,58.982515,751.27734375,19.805555898817396,0.0,0.0,1
5,0.0,0.0,57.84588999999997,751.40234375,19.808851212469467,0.0,0.0,1
